0:15D-TEMPS,1:15D-NNO,2:21A-TEMP,3:21A-NNO
696,-0.45,775,0.37
716,-0.23,769,0.32
692,-0.50,769,0.32
708,-0.32,763,0.26
689,-0.51,779,0.39
699,-0.41,771,0.35
692,-0.50,761,0.26
696,-0.45,763,0.29
687,-0.43,761,0.26
707,-0.21,753,0.18
680,-0.49,763,0.28
691,-0.44,770,0.32
711,-0.22,767,0.31
687,-0.49,785,0.34
704,-0.31,779,0.28
685,-0.50,779,0.28
687,-0.48,773,0.23
692,-0.44,789,0.36
694,-0.45,781,0.32
714,-0.23,770,0.23
690,-0.50,773,0.25
707,-0.31,771,0.22
688,-0.51,762,0.15
697,-0.41,773,0.25
690,-0.49,781,0.29
695,-0.45,777,0.28
665,-0.35,782,0.31
685,-0.13,771,0.22
661,-0.40,773,0.25
678,-0.21,771,0.22
659,-0.41,762,0.14
661,-0.39,773,0.24
666,-0.35,781,0.28
691,-0.44,782,0.29
712,-0.22,777,0.27
687,-0.49,786,0.34
704,-0.31,780,0.28
685,-0.50,780,0.28
687,-0.49,774,0.23
692,-0.44,791,0.35
684,-0.41,783,0.32
680,-0.46,772,0.23
697,-0.28,775,0.25
678,-0.47,772,0.22
688,-0.37,764,0.15
681,-0.46,774,0.24
685,-0.41,782,0.29
698,-0.46,778,0.28
718,-0.24,789,0.29
694,-0.51,778,0.20
710,-0.33,781,0.22
691,-0.52,778,0.20
701,-0.42,770,0.12
694,-0.51,780,0.22
698,-0.46,788,0.26
694,-0.45,789,0.27
714,-0.23,785,0.25
690,-0.50,790,0.33
706,-0.32,784,0.27
687,-0.51,784,0.27
694,-0.45,778,0.21
691,-0.41,795,0.34
711,-0.19,787,0.30
687,-0.46,776,0.21
704,-0.27,778,0.24
685,-0.47,776,0.21
692,-0.41,767,0.13
698,-0.46,778,0.23
718,-0.24,786,0.27
694,-0.51,782,0.26
711,-0.33,778,0.34
691,-0.53,767,0.25
694,-0.51,770,0.27
699,-0.46,767,0.24
680,-0.40,759,0.17
700,-0.18,769,0.26
676,-0.45,777,0.31
693,-0.26,778,0.32
674,-0.46,774,0.30
683,-0.36,783,0.35
676,-0.44,776,0.30
681,-0.40,776,0.30
697,-0.46,770,0.24
717,-0.25,787,0.37
693,-0.51,781,0.32
710,-0.33,777,0.33
690,-0.53,779,0.33
698,-0.46,770,0.23
695,-0.45,766,0.24
715,-0.23,768,0.24
691,-0.50,773,0.26
708,-0.32,771,0.27
688,-0.52,770,0.23
698,-0.41,768,0.24
691,-0.50,762,0.15
696,-0.45,758,0.16
687,-0.43,760,0.16
707,-0.21,772,0.25
683,-0.47,770,0.26
699,-0.29,780,0.29
680,-0.49,776,0.30
683,-0.47,778,0.30
687,-0.42,781,0.30
688,-0.43,777,0.31
708,-0.21,777,0.28
684,-0.48,773,0.29
701,-0.30,775,0.29
682,-0.49,781,0.32
684,-0.48,770,0.23
