0: 15D-TMTE-TiO2,1:15D-ILM-TiO2,2:15D-Temps,3:15D-NNO,4:21A-TMTE-TiO2,5:21A-ILM-TiO2,6:21A-temps,7:21A-NNO,8:19i-TMTE-TiO2,9:19i-ILM_bottom-TiO2,10:19i-ILM_top-TiO2,11:19i-temps_bottom,12:19i-NNO_bottom,13:19i-temps_top,14:19i-NNO_top,15:3D-TMTE-TiO2,16:3D-ILM-TiO2,17:3D-temps,18:3D-NNO,19:21F-TMTE-TiO2,20:21F-ILM-TiO2,21:21F-temps,22:21F-NNO,23:19G-TMTE,24:19G-ILM,25:19G-Temps,26:19G-NNO,27:19H-TMTE31,28:19H-TMTE32,29:19H-ILM,230:19H-31-temps,31:19H-31-NNO,32:19H-32-temps,33:19H-32-NNO,34:15D-TMTE-TiO2,35:15D-ILM-TiO2
8.27,47.09,709.149018,-0.223895937,8.40,45.31,781.6793713,0.439703955,8.37,44.22,44.15,804.8669454,0.66903175,801.0222371,0.633207877,8.63,44.99,791.3991373,0.454477407,8.60,45.38,789.4591236,0.436325391,8.36,44.18,806.525369,0.655752421,8.67,8.35,44.55,804.4108102,0.536462859,796.8590457,0.566935987,8.27,47.56
8.40,47.24,713.408294,-0.230025256,8.65,45.80,789.2878616,0.422989244,8.18,44.56,44.05,800.1043863,0.685639934,796.2935744,0.649832846,8.42,44.96,787.3745228,0.473448987,8.74,45.29,793.1260542,0.422418617,0,0,0,0,0,0,0,0,0,0,0,7.87,47.14
8.37,47.23,710.9402971,-0.230690992,8.59,46.31,786.7458131,0.428443362,8.52,43.84,44.55,811.7039933,0.653389909,807.8131489,0.617530896,8.53,45.10,788.7710275,0.467268435,8.58,45.48,787.1702441,0.442330088,0,0,0,0,0,0,0,0,0,0,0,7.72,47.75
8.21,0.00,707.0275225,-0.215061817,8.86,44.97,793.0600565,0.403608966,8.23,0.00,43.98,799.6315099,0.682197764,795.8194462,0.646411787,8.54,0.00,789.3431264,0.464332969,8.59,45.40,789.7637441,0.434637361,0,0,0,0,0,0,0,0,0,0,0,8.13,47.39
8.38,0.00,711.7498909,-0.233521711,8.81,45.91,791.3754364,0.409895145,8.17,0.00,44.59,799.5435774,0.689953284,795.7365848,0.654147576,8.64,0.00,793.8941484,0.454012811,0.00,45.52,782.3384497,0.370118605,0,0,0,0,0,0,0,0,0,0,0,8.47,47.76
0.00,0.00,703.5687439,-0.27982526,8.72,46.38,789.6229014,0.420588501,8.39,0.00,44.35,805.7691785,0.664740134,801.916255,0.628918508,8.52,0.00,787.9339689,0.473759496,0.00,0.00,785.9622747,0.356230758,0,0,0,0,0,0,0,0,0,0,0,8.44,47.7
0.00,0.00,707.7979582,-0.285989467,8.82,45.95,794.2216431,0.405379644,8.12,0.00,44.16,797.6159327,0.695972958,793.8205408,0.660183203,8.49,0.00,787.4543173,0.475368196,0.00,0.00,780.0729976,0.37612581,0,0,0,0,0,0,0,0,0,0,0,8.15,47.68
0.00,0.00,705.3439822,-0.286620077,8.93,45.83,795.2382432,0.400335585,8.10,0.00,0.00,798.7855939,0.688851716,794.9832789,0.653054014,8.57,0.00,790.9792182,0.469470656,0.00,0.00,782.6353213,0.368446642,0,0,0,0,0,0,0,0,0,0,0,8.26,47.65
0.00,0.00,701.4661362,-0.270989549,8.77,45.66,794.8307068,0.409825338,8.39,0.00,0.00,805.899136,0.66160958,802.0454406,0.625788768,8.54,0.00,790.514009,0.461248665,0.00,0.00,790.174189,0.426881351,0,0,0,0,0,0,0,0,0,0,0,8.38,47.09
0.00,0.00,706.1468919,-0.289453054,8.88,0.00,793.7586258,0.409464926,8.26,0.00,0.00,801.6409353,0.6810286,797.818894,0.645216943,8.64,0.00,790.786237,0.464810622,0.00,0.00,793.8429861,0.412957557,0,0,0,0,0,0,0,0,0,0,0,7.34,47.24
0.00,0.00,706.0113124,-0.259408415,8.77,0.00,790.598698,0.415652174,8.08,0.00,0.00,797.3468839,0.690257261,793.5522867,0.654475855,8.50,0.00,787.4456761,0.473858815,0.00,0.00,787.884482,0.432895215,0,0,0,0,0,0,0,0,0,0,0,8.05,47.23
0.00,0.00,710.2537904,-0.26555234,8.65,0.00,789.4006196,0.416197106,8.90,0.00,0.00,820.8072278,0.615337349,816.8506029,0.579460903,8.56,0.00,788.797055,0.465937353,0.00,0.00,790.4793858,0.425190462,0,0,0,0,0,0,0,0,0,0,0,8.51,0.00
0.00,0.00,707.7936133,-0.266201299,8.90,0.00,795.3120798,0.392428067,8.19,0.00,0.00,798.3192127,0.694165005,794.5183174,0.658374622,8.30,0.00,783.819522,0.486299986,0.00,0.00,784.447485,0.388415689,0,0,0,0,0,0,0,0,0,0,0,8.41,0.00
0.00,0.00,703.9003913,-0.250575734,8.86,0.00,792.823972,0.405732678,0.00,0.00,0.00,799.7428492,0.631155337,803.0469396,0.651869929,8.58,0.00,790.1650078,0.464947717,0.00,0.00,788.0869695,0.37455643,0,0,0,0,0,0,0,0,0,0,0,8,0.00
0.00,0.00,708.5994692,-0.269032345,8.91,0.00,796.1371947,0.396917915,0.00,0.00,0.00,795.0268622,0.64780799,798.2927353,0.668426424,8.54,0.00,788.8850967,0.466614391,0.00,0.00,782.1732557,0.394400308,0,0,0,0,0,0,0,0,0,0,0,8.57,0.00
0.00,0.00,0,0.00,8.81,0.00,791.2431418,0.408379758,0.00,0.00,0.00,806.5165463,0.615436781,809.8733411,0.636296758,8.55,0.00,789.4171982,0.470378018,0.00,0.00,784.7468875,0.386741796,0,0,0,0,0,0,0,0,0,0,0,8.54,0.00
0.00,0.00,0,0.00,8.93,0.00,795.4274836,0.395567365,0.00,0.00,0.00,794.5524698,0.64439628,797.8184908,0.664988303,8.58,0.00,791.3579105,0.461260749,0.00,0.00,781.5746958,0.361379144,0,0,0,0,0,0,0,0,0,0,0,8.45,0.00
