Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
116,1161.00,0.001,-6.753,0.4475,3.2462,48.8536,1.0975,5.3328,4.3606,0.0000,3.7665,0.0000,15.7268,0.0000,0.0000,20.6014,0.2608,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.202,-5.709,1.041,0.138,0.528,0.500546,0.166993,0.116211,0.076529,-0.015630,0.136693,0.018659
117,1160.00,0.001,-6.765,0.9929,3.2463,48.8704,1.1086,5.3112,4.3408,0.0000,3.7797,0.0000,15.7502,0.0000,0.0000,20.5769,0.2622,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-15.978,-12.670,2.309,0.306,1.173,0.499624,0.167915,0.116613,0.076587,-0.015079,0.135584,0.018755
118,1160.00,0.001,-6.765,0.9929,3.2463,48.8704,1.1086,5.3112,4.3408,0.0000,3.7797,0.0000,15.7502,0.0000,0.0000,20.5769,0.2622,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-15.978,-12.670,2.309,0.306,1.173,0.499624,0.167915,0.116613,0.076587,-0.015079,0.135584,0.018755
119,1159.00,0.001,-6.777,1.5177,3.2464,48.8872,1.1193,5.2898,4.3211,0.0000,3.7928,0.0000,15.7735,0.0000,0.0000,20.5528,0.2636,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-24.421,-19.368,3.528,0.467,1.792,0.498718,0.168830,0.117009,0.076642,-0.014539,0.134490,0.018850
120,1158.00,0.001,-6.789,2.0228,3.2464,48.9040,1.1298,5.2686,4.3015,0.0000,3.8058,0.0000,15.7966,0.0000,0.0000,20.5288,0.2649,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-32.546,-25.819,4.701,0.623,2.389,0.497828,0.169738,0.117401,0.076692,-0.014011,0.133409,0.018943
121,1157.00,0.001,-6.800,2.5094,3.2465,48.9210,1.1401,5.2475,4.2820,0.0000,3.8186,0.0000,15.8196,0.0000,0.0000,20.5051,0.2662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-40.371,-32.033,5.830,0.773,2.964,0.496954,0.170639,0.117788,0.076737,-0.013494,0.132342,0.019034
122,1156.00,0.001,-6.812,2.9783,3.2466,48.9380,1.1500,5.2266,4.2625,0.0000,3.8313,0.0000,15.8426,0.0000,0.0000,20.4816,0.2674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47.909,-38.023,6.917,0.917,3.517,0.496094,0.171534,0.118170,0.076779,-0.012988,0.131289,0.019123
123,1155.00,0.001,-6.824,3.4304,3.2467,48.9551,1.1596,5.2059,4.2432,0.0000,3.8438,0.0000,15.8654,0.0000,0.0000,20.4582,0.2687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-55.175,-43.800,7.965,1.057,4.051,0.495247,0.172423,0.118549,0.076815,-0.012493,0.130249,0.019210
124,1154.00,0.001,-6.836,3.8664,3.2467,48.9723,1.1690,5.1853,4.2239,0.0000,3.8562,0.0000,15.8882,0.0000,0.0000,20.4351,0.2699,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-62.183,-49.374,8.975,1.191,4.567,0.494415,0.173307,0.118924,0.076846,-0.012010,0.129222,0.019296
125,1153.00,0.001,-6.848,4.2873,3.2468,48.9897,1.1781,5.1649,4.2047,0.0000,3.8685,0.0000,15.9109,0.0000,0.0000,20.4121,0.2711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-68.944,-54.756,9.949,1.320,5.064,0.493595,0.174186,0.119295,0.076873,-0.011537,0.128209,0.019380
126,1152.00,0.001,-6.860,4.6937,3.2469,49.0071,1.1869,5.1446,4.1856,0.0000,3.8807,0.0000,15.9335,0.0000,0.0000,20.3893,0.2722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-75.472,-59.954,10.889,1.446,5.544,0.492787,0.175061,0.119664,0.076894,-0.011075,0.127208,0.019461
127,1151.00,0.001,-6.872,5.0862,3.2469,49.0246,1.1954,5.1244,4.1665,0.0000,3.8929,0.0000,15.9561,0.0000,0.0000,20.3667,0.2734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-81.776,-64.977,11.796,1.566,6.008,0.491991,0.175932,0.120029,0.076910,-0.010624,0.126220,0.019541
128,1150.00,0.001,-6.885,5.4657,3.2470,49.0422,1.2036,5.1044,4.1476,0.0000,3.9049,0.0000,15.9786,0.0000,0.0000,20.3442,0.2745,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-87.867,-69.833,12.672,1.683,6.456,0.491206,0.176799,0.120392,0.076921,-0.010183,0.125245,0.019619
129,1150.00,0.001,-6.885,5.4657,3.2470,49.0422,1.2036,5.1044,4.1476,0.0000,3.9049,0.0000,15.9786,0.0000,0.0000,20.3442,0.2745,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-87.867,-69.833,12.672,1.683,6.456,0.491206,0.176799,0.120392,0.076921,-0.010183,0.125245,0.019619
130,1149.00,0.001,-6.897,5.8326,3.2471,49.0599,1.2116,5.0845,4.1287,0.0000,3.9169,0.0000,16.0011,0.0000,0.0000,20.3218,0.2756,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-93.757,-74.531,13.518,1.796,6.890,0.490432,0.177664,0.120753,0.076927,-0.009752,0.124283,0.019695
131,1148.00,0.001,-6.909,6.1876,3.2471,49.0778,1.2193,5.0647,4.1099,0.0000,3.9288,0.0000,16.0235,0.0000,0.0000,20.2995,0.2766,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-99.453,-79.078,14.337,1.906,7.309,0.489667,0.178525,0.121111,0.076927,-0.009332,0.123332,0.019769
132,1147.00,0.001,-6.921,6.5311,3.2472,49.0957,1.2266,5.0450,4.0911,0.0000,3.9406,0.0000,16.0459,0.0000,0.0000,20.2774,0.2776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-104.965,-83.480,15.128,2.011,7.715,0.488912,0.179385,0.121467,0.076923,-0.008922,0.122394,0.019842
133,1146.00,0.001,-6.933,6.8639,3.2472,49.1138,1.2338,5.0254,4.0724,0.0000,3.9524,0.0000,16.0682,0.0000,0.0000,20.2553,0.2786,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-110.301,-87.745,15.894,2.114,8.108,0.488165,0.180242,0.121822,0.076913,-0.008522,0.121468,0.019912
