Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),       albite,    anorthite,     sanidine
78,1184.00,0.001,-6.484,0.6290,2.6609,49.3513,0.0000,32.4740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.2759,2.7763,0.1226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.927,-8.691,1.535,0.236,0.775,0.245726,0.747137,0.007137
79,1184.00,0.001,-6.484,0.6290,2.6609,49.3513,0.0000,32.4740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.2759,2.7763,0.1226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.927,-8.691,1.535,0.236,0.775,0.245726,0.747137,0.007137
80,1183.00,0.001,-6.495,1.3170,2.6605,49.4039,0.0000,32.4381,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.2340,2.7994,0.1246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22.877,-18.199,3.213,0.495,1.622,0.247741,0.745003,0.007257
81,1182.00,0.001,-6.507,1.9941,2.6602,49.4562,0.0000,32.4023,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.1923,2.8224,0.1267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-34.635,-27.557,4.864,0.750,2.455,0.249746,0.742876,0.007378
82,1181.00,0.001,-6.518,2.6607,2.6598,49.5084,0.0000,32.3667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.1508,2.8453,0.1288,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-46.205,-36.769,6.489,1.000,3.276,0.251742,0.740758,0.007500
83,1180.00,0.001,-6.530,3.3169,2.6594,49.5604,0.0000,32.3312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.1094,2.8681,0.1310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-57.592,-45.840,8.088,1.247,4.084,0.253728,0.738648,0.007624
84,1180.00,0.001,-6.530,3.3169,2.6594,49.5604,0.0000,32.3312,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.1094,2.8681,0.1310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-57.592,-45.840,8.088,1.247,4.084,0.253728,0.738648,0.007624
85,1179.00,0.001,-6.542,4.0474,2.6589,49.6330,0.0000,32.2818,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0516,2.9004,0.1332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-70.267,-55.937,9.868,1.522,4.983,0.256546,0.735704,0.007749
86,1178.00,0.001,-6.553,4.7327,2.6585,49.6957,0.0000,32.2391,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0018,2.9281,0.1353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-82.154,-65.412,11.537,1.780,5.826,0.258960,0.733164,0.007875
87,1177.00,0.001,-6.565,5.4103,2.6580,49.7580,0.0000,32.1966,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.9522,2.9556,0.1375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-93.904,-74.781,13.187,2.035,6.660,0.261358,0.730639,0.008002
88,1176.00,0.001,-6.576,6.0802,2.6576,49.8199,0.0000,32.1544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.9029,2.9830,0.1398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-105.514,-84.042,14.817,2.288,7.484,0.263739,0.728131,0.008130
89,1175.00,0.001,-6.588,6.7420,2.6571,49.8814,0.0000,32.1125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.8540,3.0101,0.1420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-116.983,-93.194,16.427,2.537,8.298,0.266102,0.725640,0.008259
90,1174.00,0.001,-6.600,7.3957,2.6567,49.9425,0.0000,32.0709,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.8054,3.0370,0.1442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-128.307,-102.234,18.017,2.784,9.102,0.268445,0.723167,0.008388
91,1173.00,0.001,-6.611,8.0412,2.6563,50.0031,0.0000,32.0295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7572,3.0637,0.1465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-139.487,-111.162,19.586,3.027,9.896,0.270767,0.720714,0.008519
92,1172.00,0.001,-6.623,8.6784,2.6559,50.0632,0.0000,31.9886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7093,3.0902,0.1488,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-150.519,-119.976,21.135,3.268,10.679,0.273069,0.718281,0.008650
93,1171.00,0.001,-6.635,9.3072,2.6554,50.1227,0.0000,31.9479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6619,3.1164,0.1511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-161.403,-128.675,22.662,3.505,11.452,0.275348,0.715869,0.008782
94,1170.00,0.001,-6.646,9.9276,2.6550,50.1818,0.0000,31.9076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6149,3.1423,0.1534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-172.138,-137.259,24.169,3.739,12.215,0.277605,0.713480,0.008915
95,1170.00,0.001,-6.646,9.9276,2.6550,50.1818,0.0000,31.9076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6149,3.1423,0.1534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-172.138,-137.259,24.169,3.739,12.215,0.277605,0.713480,0.008915
96,1171.00,0.001,-6.635,9.3072,2.6554,50.1227,0.0000,31.9479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6619,3.1164,0.1511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-161.403,-128.675,22.662,3.505,11.452,0.275348,0.715869,0.008782
97,1172.00,0.001,-6.623,8.6784,2.6559,50.0632,0.0000,31.9886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7093,3.0902,0.1488,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-150.519,-119.976,21.135,3.268,10.679,0.273069,0.718281,0.008650
98,1173.00,0.001,-6.611,8.0412,2.6563,50.0031,0.0000,32.0295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7572,3.0637,0.1465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-139.487,-111.162,19.586,3.027,9.896,0.270767,0.720714,0.008519
99,1174.00,0.001,-6.600,7.3957,2.6567,49.9425,0.0000,32.0709,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.8054,3.0370,0.1442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-128.307,-102.234,18.017,2.784,9.102,0.268445,0.723167,0.008388
100,1175.00,0.001,-6.588,6.7420,2.6571,49.8814,0.0000,32.1125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.8540,3.0101,0.1420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-116.983,-93.194,16.427,2.537,8.298,0.266102,0.725640,0.008259
101,1175.00,0.001,-6.588,6.7420,2.6571,49.8814,0.0000,32.1125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.8540,3.0101,0.1420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-116.983,-93.194,16.427,2.537,8.298,0.266102,0.725640,0.008259
102,1174.00,0.001,-6.600,7.3957,2.6567,49.9425,0.0000,32.0709,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.8054,3.0370,0.1442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-128.307,-102.234,18.017,2.784,9.102,0.268445,0.723167,0.008388
103,1173.00,0.001,-6.611,8.0412,2.6563,50.0031,0.0000,32.0295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7572,3.0637,0.1465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-139.487,-111.162,19.586,3.027,9.896,0.270767,0.720714,0.008519
104,1172.00,0.001,-6.623,8.6784,2.6559,50.0632,0.0000,31.9886,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.7093,3.0902,0.1488,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-150.519,-119.976,21.135,3.268,10.679,0.273069,0.718281,0.008650
105,1171.00,0.001,-6.635,9.3072,2.6554,50.1227,0.0000,31.9479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6619,3.1164,0.1511,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-161.403,-128.675,22.662,3.505,11.452,0.275348,0.715869,0.008782
106,1170.00,0.001,-6.646,9.9276,2.6550,50.1818,0.0000,31.9076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6149,3.1423,0.1534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-172.138,-137.259,24.169,3.739,12.215,0.277605,0.713480,0.008915
107,1170.00,0.001,-6.646,9.9276,2.6550,50.1818,0.0000,31.9076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.6149,3.1423,0.1534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-172.138,-137.259,24.169,3.739,12.215,0.277605,0.713480,0.008915
108,1169.00,0.001,-6.658,10.5396,2.6546,50.2403,0.0000,31.8677,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.5683,3.1680,0.1557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-182.724,-145.726,25.654,3.970,12.967,0.279838,0.711113,0.009049
109,1168.00,0.001,-6.670,11.1432,2.6542,50.2982,0.0000,31.8282,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.5222,3.1934,0.1580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-193.160,-154.078,27.119,4.198,13.709,0.282047,0.708770,0.009183
110,1167.00,0.001,-6.682,11.7382,2.6538,50.3555,0.0000,31.7890,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.4765,3.2186,0.1604,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-203.445,-162.312,28.562,4.423,14.440,0.284231,0.706450,0.009318
