Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),      leucite,     analcime,   na-leucite
354,1047.00,0.001,-9.524,0.0808,2.4194,55.4425,0.0000,23.5211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3367,19.6997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-1.297,-1.034,0.199,0.033,0.091,0.906510,0.000000,0.093490
355,1046.00,0.001,-9.539,0.1705,2.4195,55.4396,0.0000,23.5199,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3268,19.7137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.735,-2.182,0.420,0.070,0.193,0.907200,0.000000,0.092800
356,1045.00,0.001,-9.553,0.2540,2.4197,55.4368,0.0000,23.5187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3169,19.7277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.072,-3.249,0.625,0.105,0.287,0.907887,0.000000,0.092113
357,1045.00,0.001,-9.553,0.2540,2.4197,55.4368,0.0000,23.5187,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3169,19.7277,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.072,-3.249,0.625,0.105,0.287,0.907887,0.000000,0.092113
358,1044.00,0.001,-9.567,0.3316,2.4199,55.4340,0.0000,23.5175,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3071,19.7415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.316,-4.242,0.815,0.137,0.375,0.908568,0.000000,0.091432
359,1043.00,0.001,-9.582,0.4039,2.4200,55.4312,0.0000,23.5163,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2973,19.7552,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.474,-5.168,0.993,0.167,0.456,0.909245,0.000000,0.090755
360,1042.00,0.001,-9.596,0.4712,2.4202,55.4285,0.0000,23.5151,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2877,19.7688,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.552,-6.029,1.158,0.195,0.532,0.909915,0.000000,0.090085
361,1041.00,0.001,-9.610,0.5340,2.4203,55.4257,0.0000,23.5140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2781,19.7822,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.555,-6.832,1.311,0.221,0.603,0.910580,0.000000,0.089420
362,1040.00,0.001,-9.625,0.5924,2.4205,55.4230,0.0000,23.5128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2686,19.7955,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.491,-7.581,1.454,0.245,0.669,0.911238,0.000000,0.088762
363,1040.00,0.001,-9.625,0.5924,2.4205,55.4230,0.0000,23.5128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2686,19.7955,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.491,-7.581,1.454,0.245,0.669,0.911238,0.000000,0.088762
