Index,T (C),P (kbars),log(10) f O2,liq mass (gm),liq rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,liq G (kJ),liq H (kJ),liq S (J/K),liq V (cc),liq Cp (J/K),activity SiO2,activity TiO2,activity Al2O3,activity Fe2O3,activity MgCr2O4,activity Fe2SiO4,activity MnSi0.5O2,activity Mg2SiO4,activity NiSi0.5O2,activity CoSi0.5O2,activity CaSiO3,activity Na2SiO3,activity KAlSiO4,activity Ca3(PO4)2,activity CO2,activity SO3,activity Cl2O-1,activity F2O-1,activity H2O,liq vis (log 10 poise),sol mass (gm),sol rho (gm/cc),sol G (kJ),sol H (kJ),sol S (J/K),sol V (cc),sol Cp (J/K),sys G (kJ),sys H (kJ),sys S (J/K),sys V (cc),sys Cp (J/K),sys dVdT (cc/K),sys dVdP (cc/bar),sys alpha (1/K),sys beta (1/bar),liq dVdT (cc/K),liq dVdP (cc/bar),liq alpha (1/K),liq beta (1/bar)
1,1600.00,0.001,-2.759,1.0010848853043e+02,2.5908,49.2865,1.9479,16.2024,2.7766,0.0000,6.0223,0.1598,9.8094,0.0000,0.0000,9.2100,2.7970,1.3385,0.4495,0.0000,0.0000,0.0000,0.0000,0.0000,-1.7455530735599e+03,-1.1738092703315e+03,3.0523118982912e+02,3.8640021502592e+01,1.5254122843762e+02,4.1584799e-01,3.5873409e-02,2.1269143e-02,8.0312595e-03,0.0000000e+00,4.5778138e-02,3.4383224e-03,9.3809602e-02,0.0000000e+00,0.0000000e+00,1.0966274e-01,6.5746638e-04,2.3079105e-02,7.9239483e-02,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.8769,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.7455530735599e+03,-1.1738092703315e+03, 3.0523118982912e+02, 3.8640021502592e+01, 1.5254122843762e+02, 2.5982995385306e-03,-2.1116046453122e-04, 6.7243739456934e-05, 5.4648122935711e-06, 2.5982995385306e-03,-2.1116046453122e-04, 6.7243739456934e-05, 5.4648122935711e-06
2,1258.20,0.001,-5.671,1.0011800543342e+02,2.6514,49.2818,1.9477,16.2009,2.8712,0.0000,5.9364,0.1598,9.8084,0.0000,0.0000,9.2091,2.7967,1.3384,0.4495,0.0000,0.0000,0.0000,0.0000,0.0000,-1.6464631045581e+03,-1.2260858869743e+03,2.7451413300930e+02,3.7760470193748e+01,1.5259004781713e+02,4.1465151e-01,3.9074718e-02,1.3901067e-02,7.0725034e-03,0.0000000e+00,4.5808820e-02,3.7918399e-03,8.8626661e-02,0.0000000e+00,0.0000000e+00,1.0194271e-01,2.5537402e-04,2.2089657e-02,1.6237775e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.0119,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.6464631045581e+03,-1.2260858869743e+03, 2.7451413300930e+02, 3.7760470193748e+01, 1.5259004781713e+02, 2.6002327319486e-03,-2.1560472049209e-04, 6.8861238183923e-05, 5.7097996763765e-06, 2.6002327319486e-03,-2.1560472049209e-04, 6.8861238183923e-05, 5.7097996763765e-06
3,1258.00,0.001,-5.673,1.0011802149806e+02,2.6514,49.2818,1.9477,16.2009,2.8714,0.0000,5.9362,0.1598,9.8084,0.0000,0.0000,9.2091,2.7967,1.3384,0.4495,0.0000,0.0000,0.0000,0.0000,0.0000,-1.6464084768748e+03,-1.2261166378831e+03,2.7449422916871e+02,3.7759964574782e+01,1.5259013022480e+02,4.1465093e-01,3.9076975e-02,1.3896840e-02,7.0721565e-03,0.0000000e+00,4.5807838e-02,3.7921102e-03,8.8622943e-02,0.0000000e+00,0.0000000e+00,1.0193755e-01,2.5520003e-04,2.2088970e-02,1.6246052e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.0127,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.6464084768748e+03,-1.2261166378831e+03, 2.7449422916871e+02, 3.7759964574782e+01, 1.5259013022480e+02, 2.6002359952011e-03,-2.1560757002602e-04, 6.8862246680647e-05, 5.7099515969889e-06, 2.6002359952011e-03,-2.1560757002602e-04, 6.8862246680647e-05, 5.7099515969889e-06
4,1258.00,0.001,-5.673,1.0011802149805e+02,2.6514,49.2818,1.9477,16.2009,2.8714,0.0000,5.9362,0.1598,9.8084,0.0000,0.0000,9.2091,2.7967,1.3384,0.4495,0.0000,0.0000,0.0000,0.0000,0.0000,-1.6464084768747e+03,-1.2261166378831e+03,2.7449422916868e+02,3.7759964574780e+01,1.5259013022479e+02,4.1465093e-01,3.9076975e-02,1.3896840e-02,7.0721565e-03,0.0000000e+00,4.5807838e-02,3.7921102e-03,8.8622943e-02,0.0000000e+00,0.0000000e+00,1.0193755e-01,2.5520003e-04,2.2088970e-02,1.6246052e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.0127,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.6464084768747e+03,-1.2261166378831e+03, 2.7449422916868e+02, 3.7759964574780e+01, 1.5259013022479e+02, 2.6002359952006e-03,-2.1560757002601e-04, 6.8862246680637e-05, 5.7099515969890e-06, 2.6002359952006e-03,-2.1560757002601e-04, 6.8862246680637e-05, 5.7099515969890e-06
5,1257.00,0.001,-5.684,1.0011810206479e+02,2.6516,49.2818,1.9477,16.2009,2.8722,0.0000,5.9355,0.1598,9.8084,0.0000,0.0000,9.2091,2.7967,1.3384,0.4495,0.0000,0.0000,0.0000,0.0000,0.0000,-1.6461354022251e+03,-1.2262703964484e+03,2.7439467096473e+02,3.7757436679046e+01,1.5259054351246e+02,4.1464807e-01,3.9088265e-02,1.3875708e-02,7.0704267e-03,0.0000000e+00,4.5802901e-02,3.7934636e-03,8.8604342e-02,0.0000000e+00,0.0000000e+00,1.0191172e-01,2.5433117e-04,2.2085533e-02,1.6287532e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.0168,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.6461354022251e+03,-1.2262703964484e+03, 2.7439467096473e+02, 3.7757436679046e+01, 1.5259054351246e+02, 2.6002523609352e-03,-2.1562182567005e-04, 6.8867290516526e-05, 5.7107114421704e-06, 2.6002523609352e-03,-2.1562182567005e-04, 6.8867290516526e-05, 5.7107114421704e-06
6,1256.00,0.001,-5.694,1.0011818303826e+02,2.6518,49.2818,1.9477,16.2009,2.8730,0.0000,5.9348,0.1598,9.8084,0.0000,0.0000,9.2091,2.7967,1.3384,0.4495,0.0000,0.0000,0.0000,0.0000,0.0000,-1.6458624339140e+03,-1.2264241617322e+03,2.7429504769437e+02,3.7754909115698e+01,1.5259095888656e+02,4.1464522e-01,3.9099568e-02,1.3854580e-02,7.0687047e-03,0.0000000e+00,4.5797924e-02,3.7948195e-03,8.8585716e-02,0.0000000e+00,0.0000000e+00,1.0188587e-01,2.5346409e-04,2.2082092e-02,1.6329170e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.0209,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.6458624339140e+03,-1.2264241617322e+03, 2.7429504769437e+02, 3.7754909115698e+01, 1.5259095888656e+02, 2.6002688092900e-03,-2.1563609465564e-04, 6.8872336609832e-05, 5.7114716921934e-06, 2.6002688092900e-03,-2.1563609465564e-04, 6.8872336609832e-05, 5.7114716921934e-06
7,1255.00,0.001,-5.704,1.0011826441961e+02,2.6520,49.2817,1.9477,16.2008,2.8738,0.0000,5.9340,0.1598,9.8084,0.0000,0.0000,9.2091,2.7967,1.3384,0.4495,0.0000,0.0000,0.0000,0.0000,0.0000,-1.6455895720245e+03,-1.2265779337571e+03,2.7419535926929e+02,3.7752381885516e+01,1.5259137635296e+02,4.1464237e-01,3.9110884e-02,1.3833457e-02,7.0669906e-03,0.0000000e+00,4.5792905e-02,3.7961778e-03,8.8567066e-02,0.0000000e+00,0.0000000e+00,1.0186000e-01,2.5259880e-04,2.2078647e-02,1.6370967e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.0249,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.6455895720245e+03,-1.2265779337571e+03, 2.7419535926929e+02, 3.7752381885516e+01, 1.5259137635296e+02, 2.6002853404975e-03,-2.1565037705251e-04, 6.8877384965615e-05, 5.7122323488482e-06, 2.6002853404975e-03,-2.1565037705251e-04, 6.8877384965615e-05, 5.7122323488482e-06
8,1254.00,0.001,-5.715,1.0011834620999e+02,2.6522,49.2817,1.9477,16.2008,2.8746,0.0000,5.9333,0.1598,9.8084,0.0000,0.0000,9.2091,2.7967,1.3384,0.4495,0.0000,0.0000,0.0000,0.0000,0.0000,-1.6453168166397e+03,-1.2267317125460e+03,2.7409560560106e+02,3.7749854989284e+01,1.5259179591758e+02,4.1463952e-01,3.9122213e-02,1.3812339e-02,7.0652843e-03,0.0000000e+00,4.5787844e-02,3.7975385e-03,8.8548391e-02,0.0000000e+00,0.0000000e+00,1.0183411e-01,2.5173529e-04,2.2075199e-02,1.6412923e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.0290,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.6453168166397e+03,-1.2267317125460e+03, 2.7409560560106e+02, 3.7749854989284e+01, 1.5259179591758e+02, 2.6003019547920e-03,-2.1566467293066e-04, 6.8882435588962e-05, 5.7129934139318e-06, 2.6003019547920e-03,-2.1566467293066e-04, 6.8882435588962e-05, 5.7129934139318e-06
9,1253.00,0.001,-5.725,1.0011842841054e+02,2.6523,49.2816,1.9477,16.2008,2.8754,0.0000,5.9326,0.1598,9.8084,0.0000,0.0000,9.2091,2.7967,1.3384,0.4495,0.0000,0.0000,0.0000,0.0000,0.0000,-1.6450441678430e+03,-1.2268854981219e+03,2.7399578660099e+02,3.7747328427790e+01,1.5259221758632e+02,4.1463668e-01,3.9133555e-02,1.3791226e-02,7.0635859e-03,0.0000000e+00,4.5782742e-02,3.7989017e-03,8.8529691e-02,0.0000000e+00,0.0000000e+00,1.0180820e-01,2.5087356e-04,2.2071747e-02,1.6455039e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.0331,0.0000000000000e+00,0.0000,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,0.0000000000000e+00,-1.6450441678430e+03,-1.2268854981219e+03, 2.7399578660099e+02, 3.7747328427790e+01, 1.5259221758632e+02, 2.6003186524077e-03,-2.1567898236033e-04, 6.8887488484968e-05, 5.7137548892480e-06, 2.6003186524077e-03,-2.1567898236033e-04, 6.8887488484968e-05, 5.7137548892480e-06
10,1252.00,0.001,-5.736,1.0007108835976e+02,2.6524,49.2856,1.9486,16.2085,2.8766,0.0000,5.9314,0.1598,9.7896,0.0000,0.0000,9.2133,2.7980,1.3390,0.4497,0.0000,0.0000,0.0000,0.0000,0.0000,-1.6439764584471e+03,-1.2264467026960e+03,2.7376307625554e+02,3.7728750496660e+01,1.5250564496173e+02,4.1467098e-01,3.9165319e-02,1.3774455e-02,7.0724335e-03,0.0000000e+00,4.5807600e-02,3.8000164e-03,8.8321258e-02,0.0000000e+00,0.0000000e+00,1.0186550e-01,2.4995747e-04,2.2059126e-02,1.6528137e-01,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,0.0000000e+00,2.0389,4.7315836945840e-02,3.1775,-7.9343355482017e-01,-6.1341571848700e-01,1.1803287305063e-01,1.4891024905685e-02,6.0775768946610e-02,-1.6447698920019e+03,-1.2270601184144e+03, 2.7388110912860e+02, 3.7743641521566e+01, 1.5256642073068e+02, 2.5993233358397e-03,-2.1566156677945e-04, 6.8867847167171e-05, 5.7138516074615e-06, 2.5986050658507e-03,-2.1565041345928e-04, 6.8875990634270e-05, 5.7158111684183e-06
