Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),    tephroite,     fayalite,   co-olivine,   ni-olivine, monticellite,   forsterite
10,1252.00,0.001,-5.736,0.0473,3.1775,40.9476,0.0000,0.0000,0.0000,0.0000,8.8983,0.2607,49.5441,0.0000,0.0000,0.3492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.793,-0.613,0.118,0.015,0.061,0.002697,0.090867,0.000000,0.000000,0.009137,0.897299
11,1251.00,0.001,-5.746,0.1379,3.1780,40.9425,0.0000,0.0000,0.0000,0.0000,8.9243,0.2614,49.5220,0.0000,0.0000,0.3498,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.311,-1.787,0.344,0.043,0.177,0.002704,0.091143,0.000000,0.000000,0.009154,0.897000
12,1250.00,0.001,-5.757,0.2282,3.1784,40.9375,0.0000,0.0000,0.0000,0.0000,8.9502,0.2620,49.4999,0.0000,0.0000,0.3504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-3.823,-2.957,0.569,0.072,0.293,0.002710,0.091420,0.000000,0.000000,0.009170,0.896700
13,1249.00,0.001,-5.767,0.3181,3.1789,40.9324,0.0000,0.0000,0.0000,0.0000,8.9763,0.2626,49.4777,0.0000,0.0000,0.3510,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.329,-4.122,0.793,0.100,0.408,0.002717,0.091697,0.000000,0.000000,0.009187,0.896399
14,1248.00,0.001,-5.778,0.4077,3.1794,40.9273,0.0000,0.0000,0.0000,0.0000,9.0024,0.2633,49.4555,0.0000,0.0000,0.3516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.828,-5.283,1.016,0.128,0.523,0.002724,0.091975,0.000000,0.000000,0.009203,0.896098
15,1247.00,0.001,-5.789,0.4971,3.1799,40.9222,0.0000,0.0000,0.0000,0.0000,9.0285,0.2639,49.4332,0.0000,0.0000,0.3522,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.322,-6.440,1.238,0.156,0.638,0.002731,0.092254,0.000000,0.000000,0.009220,0.895796
16,1246.00,0.001,-5.799,0.5861,3.1804,40.9171,0.0000,0.0000,0.0000,0.0000,9.0547,0.2645,49.4109,0.0000,0.0000,0.3527,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.809,-7.592,1.459,0.184,0.752,0.002738,0.092533,0.000000,0.000000,0.009236,0.895493
17,1245.00,0.001,-5.810,0.6748,3.1808,40.9120,0.0000,0.0000,0.0000,0.0000,9.0810,0.2651,49.3885,0.0000,0.0000,0.3533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.290,-8.741,1.679,0.212,0.866,0.002745,0.092813,0.000000,0.000000,0.009253,0.895189
18,1244.00,0.001,-5.820,0.7633,3.1813,40.9069,0.0000,0.0000,0.0000,0.0000,9.1073,0.2658,49.3661,0.0000,0.0000,0.3539,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.765,-9.885,1.898,0.240,0.979,0.002752,0.093094,0.000000,0.000000,0.009270,0.894885
19,1243.00,0.001,-5.831,0.8514,3.1818,40.9018,0.0000,0.0000,0.0000,0.0000,9.1337,0.2664,49.3436,0.0000,0.0000,0.3545,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-14.234,-11.024,2.117,0.268,1.092,0.002758,0.093375,0.000000,0.000000,0.009286,0.894580
20,1242.00,0.001,-5.842,0.9392,3.1823,40.8966,0.0000,0.0000,0.0000,0.0000,9.1602,0.2670,49.3211,0.0000,0.0000,0.3551,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-15.697,-12.160,2.334,0.295,1.204,0.002765,0.093657,0.000000,0.000000,0.009303,0.894275
21,1241.00,0.001,-5.852,1.0267,3.1828,40.8915,0.0000,0.0000,0.0000,0.0000,9.1867,0.2677,49.2985,0.0000,0.0000,0.3557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-17.154,-13.291,2.551,0.323,1.316,0.002772,0.093940,0.000000,0.000000,0.009319,0.893968
22,1240.00,0.001,-5.863,1.1140,3.1833,40.8863,0.0000,0.0000,0.0000,0.0000,9.2132,0.2683,49.2759,0.0000,0.0000,0.3563,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-18.605,-14.419,2.767,0.350,1.428,0.002779,0.094224,0.000000,0.000000,0.009336,0.893661
23,1239.00,0.001,-5.874,1.2009,3.1838,40.8811,0.0000,0.0000,0.0000,0.0000,9.2399,0.2689,49.2532,0.0000,0.0000,0.3568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-20.050,-15.542,2.981,0.377,1.539,0.002786,0.094508,0.000000,0.000000,0.009352,0.893354
24,1238.00,0.001,-5.884,1.2876,3.1843,40.8759,0.0000,0.0000,0.0000,0.0000,9.2666,0.2696,49.2305,0.0000,0.0000,0.3574,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-21.489,-16.661,3.195,0.404,1.649,0.002793,0.094793,0.000000,0.000000,0.009369,0.893045
25,1237.00,0.001,-5.895,1.3739,3.1848,40.8707,0.0000,0.0000,0.0000,0.0000,9.2933,0.2702,49.2078,0.0000,0.0000,0.3580,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22.923,-17.776,3.408,0.431,1.760,0.002800,0.095079,0.000000,0.000000,0.009385,0.892736
26,1236.00,0.001,-5.906,1.4600,3.1852,40.8655,0.0000,0.0000,0.0000,0.0000,9.3201,0.2708,49.1849,0.0000,0.0000,0.3586,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-24.350,-18.887,3.620,0.458,1.869,0.002807,0.095365,0.000000,0.000000,0.009402,0.892426
