Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
152,1129.00,0.001,-7.142,0.4656,3.2164,54.5663,0.3924,2.6302,1.8850,0.0000,7.6903,0.0000,31.3984,0.0000,0.0000,1.4081,0.0293,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-7.613,-6.055,1.111,0.145,0.591,-0.260928,0.945157,0.225297,0.038791,-0.018118,0.067807,0.001992
153,1128.00,0.001,-7.154,0.8316,3.2164,54.5737,0.3950,2.6238,1.8778,0.0000,7.6864,0.0000,31.4090,0.0000,0.0000,1.4050,0.0294,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.597,-10.817,1.984,0.259,1.056,-0.260757,0.945272,0.225169,0.038819,-0.018006,0.067504,0.001999
154,1127.00,0.001,-7.167,1.1842,3.2165,54.5810,0.3976,2.6174,1.8707,0.0000,7.6827,0.0000,31.4193,0.0000,0.0000,1.4019,0.0295,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-19.361,-15.407,2.824,0.368,1.503,-0.260591,0.945385,0.225050,0.038844,-0.017897,0.067205,0.002005
155,1126.00,0.001,-7.179,1.5240,3.2165,54.5883,0.4001,2.6111,1.8636,0.0000,7.6792,0.0000,31.4293,0.0000,0.0000,1.3988,0.0296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-24.915,-19.832,3.633,0.474,1.935,-0.260431,0.945496,0.224940,0.038866,-0.017791,0.066910,0.002011
156,1125.00,0.001,-7.192,1.8516,3.2165,54.5956,0.4024,2.6047,1.8566,0.0000,7.6761,0.0000,31.4391,0.0000,0.0000,1.3958,0.0297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-30.269,-24.100,4.412,0.576,2.350,-0.260277,0.945606,0.224837,0.038885,-0.017686,0.066618,0.002017
157,1124.00,0.001,-7.204,2.1676,3.2165,54.6028,0.4047,2.5984,1.8496,0.0000,7.6732,0.0000,31.4486,0.0000,0.0000,1.3928,0.0298,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-35.431,-28.217,5.163,0.674,2.751,-0.260129,0.945715,0.224743,0.038903,-0.017584,0.066330,0.002022
158,1123.00,0.001,-7.217,2.4724,3.2165,54.6100,0.4069,2.5921,1.8427,0.0000,7.6706,0.0000,31.4579,0.0000,0.0000,1.3898,0.0299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-40.410,-32.190,5.887,0.769,3.138,-0.259985,0.945822,0.224656,0.038918,-0.017484,0.066046,0.002028
159,1122.00,0.001,-7.229,2.7665,3.2166,54.6172,0.4090,2.5859,1.8358,0.0000,7.6682,0.0000,31.4670,0.0000,0.0000,1.3869,0.0299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-45.213,-36.026,6.585,0.860,3.511,-0.259848,0.945929,0.224577,0.038931,-0.017387,0.065765,0.002033
160,1121.00,0.001,-7.242,3.0505,3.2166,54.6242,0.4111,2.5797,1.8290,0.0000,7.6660,0.0000,31.4759,0.0000,0.0000,1.3840,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.850,-39.731,7.258,0.948,3.872,-0.259715,0.946034,0.224504,0.038942,-0.017291,0.065488,0.002038
161,1120.00,0.001,-7.254,3.3248,3.2166,54.6313,0.4130,2.5735,1.8223,0.0000,7.6641,0.0000,31.4846,0.0000,0.0000,1.3812,0.0301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-54.327,-43.310,7.908,1.034,4.219,-0.259588,0.946138,0.224439,0.038951,-0.017197,0.065215,0.002042
