Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
85,1179.00,0.001,-6.542,0.2623,4.2807,0.0000,5.5028,12.8717,50.8061,0.0000,16.7571,0.0000,14.0623,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-2.694,-1.848,0.583,0.061,0.268,0.000000,-0.433812,0.619857,0.679770,0.134185
86,1178.00,0.001,-6.553,0.4025,4.2862,0.0000,5.5784,12.5832,50.9535,0.0000,16.9079,0.0000,13.9771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-4.118,-2.822,0.893,0.094,0.411,0.000000,-0.436022,0.622822,0.676918,0.136282
87,1177.00,0.001,-6.565,0.5417,4.2916,0.0000,5.6526,12.3082,51.0894,0.0000,17.0544,0.0000,13.8953,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-5.522,-3.780,1.201,0.126,0.553,0.000000,-0.438114,0.625602,0.674168,0.138344
88,1176.00,0.001,-6.576,0.6797,4.2967,0.0000,5.7257,12.0457,51.2146,0.0000,17.1971,0.0000,13.8169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-6.903,-4.721,1.506,0.158,0.692,0.000000,-0.440097,0.628212,0.671512,0.140374
89,1175.00,0.001,-6.588,0.8164,4.3016,0.0000,5.7977,11.7946,51.3302,0.0000,17.3360,0.0000,13.7415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-8.262,-5.645,1.807,0.190,0.830,0.000000,-0.441980,0.630664,0.668944,0.142372
90,1174.00,0.001,-6.600,0.9517,4.3063,0.0000,5.8686,11.5541,51.4368,0.0000,17.4715,0.0000,13.6689,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.599,-6.553,2.105,0.221,0.967,0.000000,-0.443772,0.632972,0.666459,0.144341
91,1173.00,0.001,-6.611,1.0854,4.3109,0.0000,5.9385,11.3236,51.5353,0.0000,17.6038,0.0000,13.5989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.913,-7.444,2.398,0.252,1.101,0.000000,-0.445478,0.635144,0.664053,0.146281
92,1172.00,0.001,-6.623,1.2176,4.3153,0.0000,6.0074,11.1022,51.6261,0.0000,17.7329,0.0000,13.5314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.203,-8.318,2.688,0.282,1.234,0.000000,-0.447105,0.637191,0.661719,0.148194
93,1171.00,0.001,-6.635,1.3480,4.3196,0.0000,6.0754,10.8895,51.7098,0.0000,17.8592,0.0000,13.4662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.470,-9.175,2.974,0.312,1.364,0.000000,-0.448658,0.639122,0.659455,0.150081
94,1170.00,0.001,-6.646,1.4767,4.3237,0.0000,6.1424,10.6848,51.7871,0.0000,17.9826,0.0000,13.4031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-14.712,-10.015,3.255,0.342,1.493,0.000000,-0.450141,0.640943,0.657256,0.151942
