Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K)
195,1107.00,0.001,-7.420,0.0038,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-0.058,-0.046,0.009,0.001,0.004
196,1106.00,0.001,-7.432,0.0223,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-0.340,-0.268,0.052,0.007,0.024
197,1105.00,0.001,-7.445,0.0402,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-0.612,-0.482,0.094,0.013,0.042
198,1105.00,0.001,-7.445,0.0402,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-0.612,-0.482,0.094,0.013,0.042
199,1104.00,0.001,-7.458,0.0575,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-0.875,-0.690,0.135,0.018,0.061
200,1103.00,0.001,-7.471,0.0742,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-1.129,-0.890,0.174,0.023,0.078
201,1102.00,0.001,-7.484,0.0904,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-1.374,-1.084,0.211,0.028,0.095
202,1101.00,0.001,-7.497,0.1060,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-1.612,-1.271,0.248,0.033,0.112
203,1100.00,0.001,-7.510,0.1211,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-1.841,-1.452,0.283,0.038,0.128
204,1100.00,0.001,-7.510,0.1211,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-1.841,-1.452,0.283,0.038,0.128
205,1099.00,0.001,-7.523,0.1365,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-2.075,-1.644,0.314,0.043,0.195
206,1098.00,0.001,-7.536,0.1516,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-2.304,-1.826,0.349,0.048,0.216
207,1097.00,0.001,-7.549,0.1662,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-2.526,-2.002,0.383,0.052,0.237
208,1096.00,0.001,-7.562,0.1804,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-2.741,-2.173,0.415,0.057,0.257
209,1095.00,0.001,-7.575,0.1941,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-2.949,-2.338,0.446,0.061,0.276
210,1094.00,0.001,-7.588,0.2074,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-3.151,-2.499,0.477,0.065,0.295
211,1093.00,0.001,-7.601,0.2203,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-3.346,-2.655,0.506,0.069,0.313
212,1092.00,0.001,-7.614,0.2328,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-3.536,-2.806,0.535,0.073,0.330
213,1091.00,0.001,-7.627,0.2449,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-3.719,-2.952,0.562,0.077,0.347
214,1090.00,0.001,-7.640,0.2567,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-3.898,-3.095,0.589,0.081,0.364
215,1090.00,0.001,-7.640,0.2567,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-3.898,-3.095,0.589,0.081,0.364
216,1089.00,0.001,-7.654,0.2682,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-4.071,-3.233,0.615,0.084,0.380
217,1088.00,0.001,-7.667,0.2793,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-4.239,-3.368,0.640,0.088,0.396
218,1087.00,0.001,-7.680,0.2901,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-4.402,-3.498,0.665,0.091,0.411
219,1086.00,0.001,-7.693,0.3006,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-4.561,-3.625,0.688,0.095,0.425
220,1085.00,0.001,-7.706,0.3108,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-4.715,-3.749,0.711,0.098,0.439
221,1084.00,0.001,-7.720,0.3207,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-4.865,-3.869,0.734,0.101,0.453
222,1083.00,0.001,-7.733,0.3304,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-5.011,-3.986,0.756,0.104,0.466
223,1082.00,0.001,-7.746,0.3398,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-5.153,-4.100,0.777,0.107,0.479
224,1081.00,0.001,-7.760,0.3489,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-5.291,-4.211,0.797,0.110,0.492
225,1080.00,0.001,-7.773,0.3578,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-5.425,-4.319,0.817,0.113,0.504
226,1080.00,0.001,-7.773,0.3578,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-5.425,-4.319,0.817,0.113,0.504
227,1079.00,0.001,-7.786,0.3665,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-5.556,-4.424,0.837,0.115,0.516
228,1078.00,0.001,-7.800,0.3750,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-5.683,-4.527,0.856,0.118,0.528
229,1077.00,0.001,-7.813,0.3832,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-5.807,-4.627,0.874,0.121,0.539
230,1076.00,0.001,-7.827,0.3913,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-5.928,-4.725,0.892,0.123,0.550
231,1075.00,0.001,-7.840,0.3991,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-6.046,-4.820,0.909,0.126,0.561
232,1074.00,0.001,-7.853,0.4068,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.2384,0.0000,0.0000,45.7616,0.0000,0.0000,0.0000,0.0000,0.0000,-6.161,-4.913,0.926,0.128,0.571
233,1073.00,0.001,-7.867,0.4142,3.1775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
