Sample	
Comments	
Filename	C:\WINDMAX\DATA\USERS\GEO\GEO_ER~1\Pyrenees\BULKMA~1\2M1-std2.raw
Goniometer	Ultima IV In-plane
Attachment	Auto sample changer (10 samples)
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/44mA
DivSlit	2/3deg.
DivH.L.Slit	10mm
SctSlit	2/3deg.
RecSlit	0.3mm
Start	16
Stop	44
Step	0.02
Speed	0.3
Offset	0
16	694
16.02	693.25
16.04	714.5
16.06	709.5
16.08	700.5
16.1	730.75
16.12	731.5
16.14	717.75
16.16	749.75
16.18	712
16.2	695.5
16.22	704
16.24	705
16.26	681.25
16.28	654.75
16.3	655.25
16.32	658.75
16.34	645
16.36	658.25
16.38	665.5
16.4	631.5
16.42	646.75
16.44	638
16.46	664
16.48	640
16.5	642.75
16.52	642.5
16.54	648.5
16.56	649.75
16.58	669
16.6	635.5
16.62	648.75
16.64	644.25
16.66	640.75
16.68	641.25
16.7	638.5
16.72	631.5
16.74	660.25
16.76	650.25
16.78	618.75
16.8	655.75
16.82	649.75
16.84	672.5
16.86	630.75
16.88	654.25
16.9	648
16.92	633.5
16.94	650.25
16.96	635
16.98	620.5
17	640.75
17.02	642.75
17.04	657
17.06	647.25
17.08	662.75
17.1	644.25
17.12	671.25
17.14	645.5
17.16	647.5
17.18	676
17.2	633.75
17.22	667
17.24	651.75
17.26	666.75
17.28	657.5
17.3	651.75
17.32	639
17.34	664
17.36	657.5
17.38	662
17.4	684.75
17.42	678.25
17.44	668
17.46	697.75
17.48	693.75
17.5	711
17.52	736.5
17.54	728
17.56	732.5
17.58	736.25
17.6	780
17.62	787.5
17.64	800
17.66	792.75
17.68	867
17.7	903.25
17.72	920.5
17.74	980.75
17.76	999
17.78	1042
17.8	1093.5
17.82	1167.25
17.84	1192.25
17.86	1257.5
17.88	1264.75
17.9	1347.75
17.92	1324.25
17.94	1312
17.96	1347.5
17.98	1270
18	1316.75
18.02	1297.25
18.04	1281.25
18.06	1251.5
18.08	1231.25
18.1	1167.25
18.12	1161
18.14	1119
18.16	1042.25
18.18	988.75
18.2	942.5
18.22	913.5
18.24	897
18.26	854.5
18.28	836.25
18.3	763.75
18.32	799.25
18.34	789.75
18.36	798.5
18.38	789.5
18.4	749.25
18.42	754.25
18.44	788.75
18.46	732
18.48	729.25
18.5	729
18.52	721
18.54	738.25
18.56	726.25
18.58	725.25
18.6	761.5
18.62	738.5
18.64	739
18.66	723.25
18.68	754.25
18.7	746.5
18.72	754
18.74	757.25
18.76	745.5
18.78	743.25
18.8	757
18.82	744.5
18.84	748.5
18.86	764.75
18.88	745.25
18.9	704.75
18.92	727.75
18.94	730
18.96	702.25
18.98	708.75
19	679.25
19.02	691.75
19.04	723.25
19.06	716.75
19.08	726
19.1	704
19.12	717.75
19.14	726.25
19.16	718.75
19.18	721
19.2	719.75
19.22	712.25
19.24	705.75
19.26	707.75
19.28	728.5
19.3	761.5
19.32	734
19.34	737
19.36	743.5
19.38	727.75
19.4	763
19.42	760.75
19.44	774
19.46	762.75
19.48	771.25
19.5	797.75
19.52	814.75
19.54	851
19.56	879.5
19.58	879.75
19.6	928
19.62	956.75
19.64	999
19.66	1040.75
19.68	1085
19.7	1160.75
19.72	1171.25
19.74	1233.75
19.76	1307
19.78	1396.75
19.8	1508
19.82	1600.75
19.84	1788.75
19.86	1870.75
19.88	2028
19.9	2204
19.92	2218.5
19.94	2344.5
19.96	2474.25
19.98	2570.25
20	2671.5
20.02	2672
20.04	2613.25
20.06	2551
20.08	2475
20.1	2341.5
20.12	2173
20.14	1992.25
20.16	1833.5
20.18	1669.5
20.2	1503.5
20.22	1387.75
20.24	1350.25
20.26	1248.25
20.28	1213.5
20.3	1168.25
20.32	1163.75
20.34	1074.25
20.36	1089.25
20.38	1104.25
20.4	1086.25
20.42	1015.25
20.44	1016.5
20.46	1009.5
20.48	1005.75
20.5	963
20.52	956.75
20.54	935
20.56	936.25
20.58	976.75
20.6	995.5
20.62	993
20.64	1016.75
20.66	1036.25
20.68	1070.25
20.7	1117.25
20.72	1116.75
20.74	1174
20.76	1163.75
20.78	1209.75
20.8	1223.5
20.82	1240.25
20.84	1180.5
20.86	1143.75
20.88	1117.25
20.9	1093
20.92	1045.5
20.94	1028.5
20.96	981.75
20.98	916
21	903.75
21.02	879.5
21.04	870
21.06	852.25
21.08	818.25
21.1	788.25
21.12	822.5
21.14	797.75
21.16	802.5
21.18	803.75
21.2	788.25
21.22	799
21.24	803.25
21.26	791.25
21.28	793
21.3	798.75
21.32	799.5
21.34	791.5
21.36	819.25
21.38	838.5
21.4	823.75
21.42	854.75
21.44	849.75
21.46	869.25
21.48	873.25
21.5	927.25
21.52	930
21.54	959
21.56	980.75
21.58	1007.5
21.6	1034.75
21.62	1059.75
21.64	1062
21.66	1086.75
21.68	1069
21.7	1102.25
21.72	1080.5
21.74	1094.25
21.76	1101.25
21.78	1112.25
21.8	1053.5
21.82	1025.75
21.84	1012.75
21.86	977.5
21.88	936.5
21.9	940.75
21.92	894.25
21.94	877.5
21.96	843.5
21.98	853.75
22	849
22.02	818.25
22.04	828
22.06	822
22.08	813
22.1	805
22.12	797.25
22.14	791.25
22.16	818
22.18	792.5
22.2	794.75
22.22	788.75
22.24	811.25
22.26	813.5
22.28	799
22.3	826
22.32	813
22.34	804.5
22.36	857.25
22.38	861.25
22.4	843
22.42	857
22.44	877.25
22.46	896.5
22.48	908
22.5	908.25
22.52	893.25
22.54	896
22.56	923
22.58	941.75
22.6	920.5
22.62	940.25
22.64	969.5
22.66	948.5
22.68	922.75
22.7	929.75
22.72	947.75
22.74	1003.25
22.76	994.25
22.78	1014
22.8	1032.5
22.82	1084.5
22.84	1109.75
22.86	1144.5
22.88	1174.75
22.9	1251.25
22.92	1314
22.94	1334.5
22.96	1435.75
22.98	1482.75
23	1538
23.02	1585
23.04	1599
23.06	1656.25
23.08	1636.25
23.1	1609
23.12	1590.25
23.14	1529.25
23.16	1419.25
23.18	1401
23.2	1326.5
23.22	1271.25
23.24	1185.5
23.26	1111.5
23.28	1068.5
23.3	1036
23.32	998.25
23.34	947.25
23.36	923.5
23.38	934
23.4	874.75
23.42	906.75
23.44	874.25
23.46	878.75
23.48	859.25
23.5	862.5
23.52	909
23.54	892
23.56	891.5
23.58	922.75
23.6	916.75
23.62	927.25
23.64	923.25
23.66	982
23.68	969.75
23.7	1010
23.72	1009.5
23.74	1078.25
23.76	1150.5
23.78	1143.75
23.8	1186.5
23.82	1218.5
23.84	1280
23.86	1313.25
23.88	1381.25
23.9	1434.25
23.92	1464.5
23.94	1524
23.96	1567
23.98	1566.5
24	1573.75
24.02	1576.25
24.04	1579.5
24.06	1509.75
24.08	1497.75
24.1	1453
24.12	1410.25
24.14	1380.75
24.16	1352
24.18	1317.75
24.2	1315.75
24.22	1268.5
24.24	1241.5
24.26	1193.5
24.28	1196.75
24.3	1102
24.32	1078
24.34	1066.75
24.36	1010
24.38	969.25
24.4	949
24.42	942.25
24.44	878.75
24.46	843.5
24.48	865.75
24.5	845.25
24.52	883.75
24.54	821.75
24.56	840
24.58	807.5
24.6	818.5
24.62	840.5
24.64	798.75
24.66	795.25
24.68	824.5
24.7	816.5
24.72	829.75
24.74	846
24.76	827.5
24.78	842.75
24.8	810.25
24.82	841.75
24.84	844.25
24.86	853.25
24.88	854
24.9	870.5
24.92	886.25
24.94	890
24.96	909.75
24.98	878.75
25	910.25
25.02	908.5
25.04	963.25
25.06	969.75
25.08	962.25
25.1	1012.5
25.12	1006.25
25.14	1019.25
25.16	1056
25.18	1069.25
25.2	1087
25.22	1122
25.24	1125.75
25.26	1129.25
25.28	1124.5
25.3	1152.25
25.32	1179.25
25.34	1199
25.36	1171
25.38	1236.5
25.4	1199.75
25.42	1230.75
25.44	1278.25
25.46	1315.75
25.48	1395.5
25.5	1434.25
25.52	1455
25.54	1540
25.56	1550.5
25.58	1650.5
25.6	1692.75
25.62	1690
25.64	1691.75
25.66	1705.25
25.68	1719
25.7	1644.75
25.72	1572
25.74	1544.25
25.76	1481.75
25.78	1362.75
25.8	1293.25
25.82	1230.5
25.84	1159.5
25.86	1161.5
25.88	1090.5
25.9	1015
25.92	1015.5
25.94	1009
25.96	929.5
25.98	930.5
26	913.75
26.02	909.25
26.04	877.5
26.06	881
26.08	889.75
26.1	873.75
26.12	871.25
26.14	883.5
26.16	875.5
26.18	904.75
26.2	865.5
26.22	895.75
26.24	891.5
26.26	891
26.28	894.75
26.3	919
26.32	910
26.34	906.25
26.36	946.5
26.38	983.25
26.4	977.75
26.42	1005
26.44	1037.5
26.46	1080
26.48	1088.25
26.5	1131.25
26.52	1156.75
26.54	1205.75
26.56	1276
26.58	1336.25
26.6	1400.5
26.62	1475
26.64	1551
26.66	1608.25
26.68	1735.75
26.7	1823
26.72	1916.75
26.74	2051.5
26.76	2138.25
26.78	2204.75
26.8	2266.75
26.82	2354.5
26.84	2375.5
26.86	2417
26.88	2395.75
26.9	2347.25
26.92	2270.5
26.94	2261.75
26.96	2097.5
26.98	1999.5
27	1875.25
27.02	1787.5
27.04	1642.25
27.06	1504.75
27.08	1476.25
27.1	1374.75
27.12	1321.5
27.14	1228.25
27.16	1157.5
27.18	1106.75
27.2	1082.75
27.22	1057.25
27.24	1031.75
27.26	986.25
27.28	952.75
27.3	976.5
27.32	968
27.34	927.75
27.36	897.75
27.38	931.75
27.4	898.25
27.42	886.5
27.44	909
27.46	899.5
27.48	906
27.5	902.5
27.52	930.25
27.54	926
27.56	910.5
27.58	945
27.6	953
27.62	921.5
27.64	955.25
27.66	975
27.68	964
27.7	1015.25
27.72	1061.75
27.74	1090
27.76	1061.5
27.78	1110.25
27.8	1154.25
27.82	1240.5
27.84	1246.25
27.86	1332.25
27.88	1362.25
27.9	1461.75
27.92	1510.25
27.94	1559
27.96	1636.5
27.98	1637.75
28	1704.25
28.02	1674.75
28.04	1669.5
28.06	1654
28.08	1606.25
