Sample	
Comments	
Filename	C:\WINDMAX\DATA\USERS\GEO\GEO_ER~1\Pyrenees\BULKMA~1\JA_08-C.raw
Goniometer	Ultima IV In-plane
Attachment	Auto sample changer (10 samples)
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/44mA
DivSlit	2/3deg.
DivH.L.Slit	10mm
SctSlit	2/3deg.
RecSlit	0.3mm
Start	16
Stop	44
Step	0.02
Speed	0.3
Offset	0
16	518.75
16.02	505.25
16.04	529.5
16.06	535.75
16.08	508.5
16.1	510.75
16.12	510
16.14	532.75
16.16	505.5
16.18	519.5
16.2	535.75
16.22	537.75
16.24	522.5
16.26	513.5
16.28	508.25
16.3	519.75
16.32	499.75
16.34	508.25
16.36	521.75
16.38	501.5
16.4	523.5
16.42	507.25
16.44	526
16.46	515.25
16.48	506.5
16.5	506.25
16.52	521.75
16.54	527.5
16.56	509.75
16.58	513.25
16.6	529.25
16.62	519.5
16.64	492.75
16.66	499.25
16.68	508.25
16.7	498.5
16.72	527.5
16.74	526.75
16.76	528.5
16.78	519.5
16.8	507.5
16.82	515.25
16.84	540.25
16.86	547.5
16.88	524.25
16.9	519.75
16.92	516.5
16.94	540.25
16.96	547
16.98	531.75
17	530.25
17.02	531.5
17.04	528.75
17.06	520.75
17.08	535.5
17.1	529
17.12	551.25
17.14	531.5
17.16	521.25
17.18	545
17.2	528.25
17.22	526.25
17.24	523
17.26	513.75
17.28	552
17.3	538.5
17.32	530
17.34	547.5
17.36	539
17.38	544.75
17.4	552.5
17.42	553.5
17.44	553.25
17.46	538
17.48	541.25
17.5	560.25
17.52	548
17.54	561.75
17.56	553.25
17.58	566.75
17.6	547.5
17.62	572
17.64	567.25
17.66	581.75
17.68	594.75
17.7	582.5
17.72	597
17.74	618.75
17.76	621.75
17.78	639.5
17.8	629.25
17.82	625.75
17.84	627.5
17.86	641
17.88	667.75
17.9	627.75
17.92	635.75
17.94	622.5
17.96	629.25
17.98	626.75
18	623
18.02	595
18.04	614.5
18.06	585.25
18.08	592.25
18.1	588.25
18.12	580
18.14	562.75
18.16	559.25
18.18	568.75
18.2	577
18.22	560.25
18.24	556.5
18.26	578.25
18.28	554.25
18.3	567.5
18.32	562.25
18.34	569.75
18.36	552.25
18.38	585.25
18.4	568.75
18.42	568.25
18.44	554.75
18.46	563.5
18.48	549.25
18.5	565.25
18.52	590.25
18.54	579
18.56	596.25
18.58	590.75
18.6	593
18.62	587.5
18.64	614.75
18.66	616.75
18.68	633.75
18.7	627.5
18.72	644.75
18.74	640.5
18.76	700.5
18.78	713.75
18.8	748.75
18.82	777.25
18.84	784
18.86	792.75
18.88	747
18.9	730.25
18.92	710.5
18.94	673.75
18.96	652.5
18.98	596
19	594
19.02	583
19.04	606.75
19.06	599
19.08	568.25
19.1	601
19.12	567.75
19.14	592
19.16	569.75
19.18	585.5
19.2	599.25
19.22	605.75
19.24	584.5
19.26	612
19.28	595.75
19.3	570.75
19.32	583.25
19.34	602.5
19.36	581.5
19.38	591.25
19.4	588
19.42	579.25
19.44	576
19.46	581.75
19.48	584.5
19.5	614.5
19.52	594.75
19.54	617.75
19.56	621.5
19.58	631.5
19.6	643.75
19.62	652.5
19.64	672
19.66	683
19.68	735
19.7	737.25
19.72	763.75
19.74	793.25
19.76	795.5
19.78	829.5
19.8	834.25
19.82	871.25
19.84	843.25
19.86	862
19.88	879.75
19.9	886.5
19.92	836.5
19.94	855.25
19.96	826
19.98	813.5
20	768.75
20.02	719.25
20.04	719.75
20.06	712.5
20.08	658.75
20.1	644.5
20.12	659
20.14	648.5
20.16	664.5
20.18	646.5
20.2	645.5
20.22	631.75
20.24	628.5
20.26	619.75
20.28	615
20.3	615.25
20.32	636.75
20.34	616.5
20.36	608
20.38	610.25
20.4	604
20.42	606.75
20.44	609
20.46	594.5
20.48	597.5
20.5	626
20.52	645.25
20.54	647.5
20.56	643.75
20.58	659.5
20.6	672.75
20.62	692
20.64	725.25
20.66	723.5
20.68	777
20.7	791.75
20.72	847.5
20.74	872.75
20.76	973.25
20.78	1044.5
20.8	1123.75
20.82	1252.25
20.84	1383.25
20.86	1456.5
20.88	1517
20.9	1513
20.92	1446.75
20.94	1290.75
20.96	1215.25
20.98	1058
21	930.75
21.02	834.25
21.04	726
21.06	681
21.08	638.75
21.1	611.5
21.12	567.5
21.14	568.75
21.16	590.75
21.18	581.25
21.2	561.5
21.22	571.5
21.24	561.5
21.26	581.25
21.28	555.25
21.3	577
21.32	597.5
21.34	586.25
21.36	573.75
21.38	560
21.4	561.5
21.42	579.25
21.44	568
21.46	579.75
21.48	561.25
21.5	585.5
21.52	588.75
21.54	577
21.56	578.75
21.58	601.5
21.6	549.75
21.62	568
21.64	572.25
21.66	586.25
21.68	582.5
21.7	584.5
21.72	584
21.74	575.5
21.76	564.25
21.78	573.25
21.8	575
21.82	581.75
21.84	589
21.86	609.5
21.88	601.5
21.9	594.5
21.92	595.5
21.94	606.5
21.96	631.5
21.98	616.5
22	651.75
22.02	633.5
22.04	622.75
22.06	681
22.08	679.5
22.1	686.75
22.12	675.75
22.14	649.75
22.16	637
22.18	607.25
22.2	594.25
22.22	593
22.24	548.25
22.26	575.75
22.28	549.25
22.3	532.25
22.32	547.75
22.34	563
22.36	539
