Sample	
Comments	
Filename	C:\WINDMAX\DATA\USERS\GEO\GEO_ER~1\Pyrenees\BULKMA~1\JA_08-F.raw
Goniometer	Ultima IV In-plane
Attachment	Auto sample changer (10 samples)
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/44mA
DivSlit	2/3deg.
DivH.L.Slit	10mm
SctSlit	2/3deg.
RecSlit	0.3mm
Start	16
Stop	44
Step	0.02
Speed	0.3
Offset	0
16	724
16.02	740.75
16.04	714.75
16.06	731.5
16.08	765.75
16.1	768.25
16.12	771
16.14	783
16.16	783.75
16.18	801
16.2	817.75
16.22	828.5
16.24	814
16.26	862.5
16.28	830.75
16.3	855.75
16.32	832
16.34	799
16.36	780.75
16.38	752
16.4	719.5
16.42	706
16.44	718.25
16.46	691.75
16.48	705
16.5	695.5
16.52	696.5
16.54	696.5
16.56	684.75
16.58	665
16.6	685.75
16.62	667
16.64	689.75
16.66	696.5
16.68	681.5
16.7	671.75
16.72	685.75
16.74	684
16.76	670.75
16.78	686
16.8	699.75
16.82	700.75
16.84	687.75
16.86	690.75
16.88	682
16.9	687
16.92	677
16.94	659.5
16.96	702.75
16.98	692
17	706.25
17.02	712
17.04	702.75
17.06	684.5
17.08	717.75
17.1	713.75
17.12	757
17.14	725.25
17.16	742.5
17.18	772.75
17.2	741.25
17.22	785.25
17.24	803.5
17.26	800
17.28	824.75
17.3	855.25
17.32	872.5
17.34	850.5
17.36	897.5
17.38	905.75
17.4	866.25
17.42	870.25
17.44	864.25
17.46	822.5
17.48	844
17.5	829.25
17.52	829.25
17.54	821.25
17.56	818.25
17.58	809.5
17.6	849.5
17.62	826.5
17.64	873
17.66	887.5
17.68	882.75
17.7	936.25
17.72	924.25
17.74	946.25
17.76	953
17.78	937.75
17.8	969.75
17.82	950.75
17.84	963.5
17.86	968.5
17.88	953.5
17.9	960
17.92	943.75
17.94	886.5
17.96	960.25
17.98	952.5
18	927.5
18.02	914.5
18.04	958.75
18.06	946.5
18.08	967
18.1	968.75
18.12	1005.5
18.14	1001.25
18.16	1011.25
18.18	999
18.2	1008.25
18.22	984.75
18.24	933.5
18.26	926.25
18.28	908.25
18.3	883.5
18.32	862.75
18.34	829.25
18.36	840.75
18.38	850.75
18.4	824.75
18.42	831.75
18.44	815.5
18.46	839.25
18.48	840
18.5	846
18.52	856.5
18.54	858.75
18.56	861.25
18.58	901.25
18.6	919.25
18.62	941.25
18.64	963.75
18.66	984.75
18.68	1016
18.7	1015.5
18.72	1004.25
18.74	957
18.76	941
18.78	965
18.8	924.5
18.82	886.5
18.84	871.25
18.86	842.75
18.88	826
18.9	802
18.92	792
18.94	780.25
18.96	773.75
18.98	782.25
19	768.25
19.02	800.75
19.04	778.75
19.06	773.75
19.08	804.25
19.1	797.75
19.12	780.5
19.14	817
19.16	819.25
19.18	806.75
19.2	777.5
19.22	806
19.24	787.25
19.26	832
19.28	828.5
19.3	826.75
19.32	824.5
19.34	834.75
19.36	857
19.38	855
19.4	813
19.42	866.75
19.44	885.75
19.46	879
19.48	903.25
19.5	935.5
19.52	929.5
19.54	956.25
19.56	1026.5
19.58	1029
19.6	1103.25
19.62	1112.75
19.64	1146.25
19.66	1211.25
19.68	1221
19.7	1286.5
19.72	1333.5
19.74	1366.25
19.76	1399.5
19.78	1444
19.8	1451.5
19.82	1485.5
19.84	1452
19.86	1447.75
19.88	1415.5
19.9	1364.5
19.92	1406.25
19.94	1361.25
19.96	1284.75
19.98	1276.75
20	1328.25
20.02	1312.5
20.04	1290.75
20.06	1325.5
20.08	1360
20.1	1404
20.12	1407.5
20.14	1463
20.16	1487.5
20.18	1464.5
20.2	1474.5
20.22	1423
20.24	1378.75
20.26	1332.5
20.28	1274.75
20.3	1227
20.32	1153
20.34	1162.5
20.36	1122
20.38	1097.25
20.4	1085.25
20.42	1072.75
20.44	1113.75
20.46	1104.25
20.48	1116.5
20.5	1138.5
20.52	1174
20.54	1229.25
20.56	1293.25
20.58	1307
20.6	1389.75
20.62	1490.25
20.64	1554.75
20.66	1618
20.68	1741
20.7	1821.25
20.72	1902.75
20.74	1901.25
20.76	1928.75
20.78	1879
20.8	1773.5
20.82	1713.25
20.84	1577.5
20.86	1432.5
20.88	1328
20.9	1246
20.92	1161.75
20.94	1090
20.96	1042.75
20.98	990.5
21	984
21.02	936.25
21.04	958.25
21.06	924
21.08	907
21.1	897.5
21.12	877
21.14	896
21.16	864.75
21.18	878
21.2	868.75
21.22	853
21.24	871.25
21.26	920.25
21.28	877.25
21.3	887.25
21.32	878
21.34	849.75
21.36	848.25
21.38	870.25
21.4	870.75
21.42	853
21.44	865.25
21.46	817.25
21.48	847.25
21.5	827
21.52	859.25
21.54	834.5
21.56	833.25
21.58	855.5
21.6	827.5
21.62	864.75
21.64	853.25
21.66	835.25
21.68	815.25
21.7	823.5
21.72	833
21.74	830
21.76	857.25
21.78	849
21.8	879.25
21.82	894.5
21.84	887.5
21.86	889.75
21.88	922
21.9	932.25
21.92	969.75
21.94	965.5
21.96	974.75
21.98	985.5
22	994
22.02	995.5
22.04	940.75
22.06	942.5
22.08	930
22.1	871.5
22.12	890.25
22.14	855.25
22.16	859.75
22.18	831.75
22.2	822.75
22.22	832.25
22.24	839.5
22.26	838.5
22.28	822.5
22.3	824
22.32	821
22.34	817.25
22.36	785
22.38	799.75
22.4	827.75
22.42	821.5
22.44	836.5
22.46	804.5
22.48	819
22.5	812.5
22.52	847.25
22.54	813.5
22.56	857.5
22.58	809.75
22.6	834.75
22.62	844.25
22.64	854.75
22.66	849.25
22.68	851.5
22.7	868.5
22.72	871
22.74	881
22.76	901.5
22.78	932.75
22.8	884.5
22.82	918
22.84	912.5
22.86	924
22.88	943
22.9	962.75
22.92	988
22.94	972
22.96	989.75
22.98	946.25
23	996
23.02	971
23.04	1012.75
23.06	1026.75
23.08	1009.75
23.1	1034.75
23.12	1031.25
23.14	1001.75
23.16	978.75
23.18	949
23.2	961.25
23.22	940.75
23.24	943.5
23.26	977
23.28	974.5
23.3	954.75
23.32	1001.25
23.34	1002.75
23.36	987
23.38	989.5
23.4	1003.25
23.42	975.5
23.44	941.5
23.46	944.75
23.48	935
23.5	917.25
23.52	928.75
23.54	915.25
23.56	881.75
23.58	891.25
23.6	877.75
23.62	871
23.64	909
23.66	892.5
23.68	899
23.7	900
23.72	895.75
23.74	903.25
23.76	886
23.78	897.5
23.8	905.75
23.82	916.5
23.84	914
23.86	942
23.88	923.75
23.9	926.25
23.92	919.75
23.94	920.75
23.96	928.5
23.98	951.5
24	915
24.02	921.5
24.04	928.25
24.06	916
24.08	915.75
24.1	914.75
24.12	902.25
24.14	896.5
24.16	900.75
24.18	902.25
24.2	924.75
24.22	889.5
24.24	908
24.26	916.75
24.28	903.25
24.3	894.75
24.32	897.5
24.34	918.75
24.36	905.25
24.38	894.5
24.4	864
24.42	905.25
24.44	898.5
24.46	917.75
24.48	912
24.5	915.25
24.52	906.5
24.54	917
24.56	921.5
24.58	941
24.6	925.25
24.62	936
24.64	944.75
24.66	962.5
24.68	940
24.7	954.75
24.72	942.5
24.74	920.5
24.76	948.5
24.78	908.5
24.8	874
24.82	908.5
24.84	920.25
24.86	884.75
24.88	915.75
24.9	914.75
24.92	913.75
24.94	941.75
24.96	930
24.98	935.75
25	933.25
25.02	953.25
25.04	946.5
25.06	955.5
25.08	955.5
25.1	951.75
25.12	961.75
25.14	954.75
25.16	943.25
25.18	963.75
25.2	995
25.22	966.25
25.24	1021.25
25.26	977.5
25.28	1028
25.3	1026.75
25.32	1015.5
25.34	1031.25
25.36	1030.25
25.38	1061.75
25.4	1053
25.42	1087
25.44	1084
25.46	1096.5
25.48	1080.25
25.5	1077
25.52	1084.75
25.54	1076
25.56	1089.25
25.58	1092.75
25.6	1071.25
25.62	1079.75
25.64	1054.25
25.66	1058.5
25.68	1052.75
25.7	1023.5
25.72	1029.25
25.74	1012.5
25.76	1009.75
25.78	1022
25.8	1006.5
25.82	991.5
25.84	963
25.86	942.75
25.88	972.5
25.9	973
25.92	991.25
25.94	939.5
25.96	962.5
25.98	957.25
26	972.25
26.02	965
26.04	995.75
26.06	1004.5
26.08	1033.75
26.1	1019.75
26.12	1076.25
26.14	1120.75
26.16	1127.5
26.18	1188.25
26.2	1188
26.22	1191
26.24	1259.75
26.26	1293
26.28	1281.75
26.3	1269.25
26.32	1316
26.34	1297.5
26.36	1311.25
26.38	1326.75
26.4	1349.25
26.42	1402.5
26.44	1465
26.46	1474
26.48	1471.25
26.5	1441.25
26.52	1448.75
26.54	1420.5
26.56	1388.25
26.58	1393.25
26.6	1382.5
26.62	1387
26.64	1353
26.66	1346
26.68	1313
26.7	1295.75
26.72	1263.25
26.74	1241.75
26.76	1192.25
26.78	1159.5
26.8	1156.25
26.82	1120
26.84	1098.5
26.86	1089.75
26.88	1084.5
26.9	1033.25
26.92	1039
26.94	1029.25
26.96	1020.5
26.98	1028
27	1033
27.02	1012.75
27.04	969.75
27.06	1025.25
27.08	985.75
27.1	953
27.12	984.25
27.14	951
27.16	963
27.18	944
27.2	939
27.22	946.5
27.24	967
27.26	958.5
27.28	909.75
27.3	967.25
27.32	939.75
27.34	931.25
27.36	977
27.38	940.5
27.4	926
27.42	926
27.44	916.25
27.46	937.75
27.48	949.25
27.5	917.75
27.52	956.25
27.54	951
27.56	948.5
27.58	915.5
27.6	936.5
27.62	950.25
27.64	956.5
27.66	951.5
27.68	995.5
27.7	983.75
27.72	987.5
27.74	1045.75
27.76	1020
27.78	1043.25
27.8	1047.5
27.82	1057.25
27.84	1042.5
27.86	1088.5
27.88	1025.5
27.9	1063.75
27.92	1074.5
27.94	1095.75
27.96	1112.5
27.98	1097.5
28	1087
28.02	1092.25
28.04	1076.75
28.06	1111.75
28.08	1045.5
28.1	1029
28.12	1031.75
28.14	1016.25
28.16	1025.5
28.18	989.25
28.2	977.5
28.22	1001
28.24	965.75
28.26	974.5
28.28	996.25
28.3	943.75
28.32	943.25
28.34	987.25
28.36	945
28.38	1001.25
28.4	1001.5
28.42	995
28.44	1001.5
28.46	1024.75
28.48	1009.5
28.5	1033.25
28.52	1041.5
28.54	1050.5
28.56	1037.5
28.58	1061
28.6	1069
28.62	1043.25
28.64	1048
28.66	1049.75
28.68	1064.75
28.7	1066.25
28.72	1077.25
28.74	1049.75
28.76	1057.25
28.78	1129.25
28.8	1117.25
28.82	1129.75
28.84	1143.75
28.86	1198.5
28.88	1239.25
28.9	1276.5
28.92	1314.25
28.94	1389.5
28.96	1447.5
28.98	1507.75
29	1602.5
29.02	1633
29.04	1748.5
29.06	1867.5
29.08	1928
29.1	1988
29.12	2026.5
29.14	2069.25
29.16	2112.75
29.18	2094.5
29.2	2115.25
29.22	2097
29.24	2191.5
29.26	2267.5
29.28	2376.75
29.3	2489.5
29.32	2553.75
29.34	2653.75
29.36	2718
29.38	2745.75
29.4	2733.25
29.42	2584.25
29.44	2509
29.46	2355.75
29.48	2196.75
29.5	2038
29.52	1925.5
29.54	1836.5
29.56	1731.75
29.58	1648.25
29.6	1617.25
29.62	1516.75
29.64	1464.5
29.66	1407.5
29.68	1377
29.7	1332.75
29.72	1283.5
29.74	1256.75
29.76	1164.25
29.78	1151
29.8	1160.5
29.82	1119
29.84	1082.75
29.86	1118.5
29.88	1075.25
29.9	1066.25
29.92	1061.5
29.94	1041.5
29.96	1032.5
29.98	1048.5
30	1006.75
30.02	1056.25
30.04	1063.75
30.06	1066.75
30.08	1043.75
30.1	1051
30.12	1005.75
30.14	991.5
30.16	985.25
30.18	998.75
30.2	1000.75
30.22	954.25
30.24	979.75
30.26	955
30.28	957
30.3	957.75
30.32	966.25
30.34	967.5
30.36	1011.75
30.38	995.5
30.4	987
30.42	1000.5
30.44	1003.25
30.46	989.5
30.48	990.75
30.5	955.75
30.52	956
30.54	943
30.56	952.25
30.58	899.5
30.6	887
30.62	889
30.64	945
30.66	937.75
30.68	962.5
30.7	945.25
30.72	987
30.74	996.75
30.76	1016.25
30.78	1029
30.8	1071.75
30.82	1086
30.84	1085
30.86	1082.25
30.88	1130
30.9	1122.25
30.92	1134.25
30.94	1150.5
30.96	1198.75
30.98	1253
31	1275
31.02	1312
31.04	1353.5
31.06	1409.25
31.08	1441.75
31.1	1484.5
31.12	1443.5
31.14	1468
31.16	1417.75
31.18	1383.5
31.2	1333
31.22	1303.25
31.24	1238.25
31.26	1208.25
31.28	1176
31.3	1164.25
31.32	1147.5
31.34	1125.25
31.36	1155.75
31.38	1141.75
31.4	1132.5
31.42	1149.5
31.44	1167.75
31.46	1160.75
31.48	1191.25
31.5	1213.25
31.52	1237.5
31.54	1253
31.56	1300
31.58	1339.25
31.6	1335
31.62	1346.25
31.64	1393.5
31.66	1378.75
31.68	1408.25
31.7	1371.5
31.72	1378.25
31.74	1363
31.76	1317.25
31.78	1306.75
31.8	1237.5
31.82	1204.5
31.84	1155.25
31.86	1107.5
31.88	1101
31.9	1042.25
31.92	1015.5
31.94	1029
31.96	998
31.98	992.75
32	1024.5
32.02	996.75
32.04	1009.25
32.06	1047
32.08	1044.5
32.1	1013.75
32.12	989.75
32.14	988.5
32.16	952.75
32.18	966.5
32.2	970
32.22	915
32.24	929.5
32.26	921.25
32.28	920
32.3	887.25
32.32	903.75
32.34	892
32.36	871.75
32.38	884.25
32.4	864
32.42	865.5
32.44	837
32.46	848
32.48	853.75
32.5	797.25
32.52	812
32.54	809
32.56	780.5
32.58	772.25
32.6	776.5
32.62	765
32.64	785.5
32.66	798.25
32.68	821.25
32.7	796
32.72	797.5
32.74	815.25
32.76	818.25
32.78	812.5
32.8	787.25
32.82	835.75
32.84	791.25
32.86	828.75
32.88	794.25
32.9	798.25
32.92	790
32.94	804
32.96	764.5
32.98	824.75
33	805
33.02	801
33.04	801
33.06	783.75
33.08	819.5
33.1	798
33.12	804.25
33.14	833.75
33.16	844.25
33.18	841
33.2	868
33.22	892.25
33.24	949.25
33.26	948.75
33.28	944.75
33.3	971.25
33.32	1011.25
33.34	1061.5
33.36	1097.75
33.38	1072.5
33.4	1121.75
33.42	1087.5
33.44	1072.25
33.46	1048.75
33.48	1028.75
33.5	953.5
33.52	937.25
33.54	915.25
33.56	884.75
33.58	872.25
33.6	832.25
33.62	797.25
33.64	800.25
33.66	792.75
33.68	775
33.7	763.5
33.72	753.75
33.74	750
33.76	750.75
33.78	757.5
33.8	735.5
33.82	736
33.84	727
33.86	722.75
33.88	724
33.9	753
33.92	716
33.94	729
33.96	717
33.98	728.25
34	723.5
34.02	745.75
34.04	718
34.06	724.25
34.08	733.25
34.1	738.75
34.12	726.25
34.14	714.5
34.16	709.5
34.18	760.25
34.2	738.25
34.22	763.25
34.24	752.75
34.26	739.25
34.28	790
34.3	793.25
34.32	788.5
34.34	825
34.36	873.5
34.38	863.75
34.4	880.25
34.42	903.5
34.44	938.25
34.46	980.25
34.48	962.25
34.5	1028
34.52	1045.75
34.54	1052.5
34.56	1086
34.58	1064.5
34.6	1079.5
34.62	1105.25
34.64	1105.5
34.66	1089.25
34.68	1117.25
34.7	1057.75
34.72	1109.75
34.74	1104.75
34.76	1120.5
34.78	1102
34.8	1127.25
34.82	1129.75
34.84	1132.25
34.86	1136.5
34.88	1162
34.9	1169.25
34.92	1133.5
34.94	1126.5
34.96	1160.5
34.98	1143.5
35	1127
35.02	1171.75
35.04	1119
35.06	1126.25
35.08	1059.5
35.1	1058
35.12	1050.75
35.14	989.5
35.16	971
35.18	942.5
35.2	934.25
35.22	899.25
35.24	896.75
35.26	922.5
35.28	843.5
35.3	873.25
35.32	863.25
35.34	875
35.36	861.25
35.38	845.25
35.4	871.5
35.42	840.75
35.44	848.5
35.46	866
35.48	837
35.5	861.25
35.52	849
35.54	862.25
35.56	847
35.58	818.25
35.6	815.25
35.62	813.5
35.64	827.75
35.66	749.25
35.68	826.25
35.7	748.75
35.72	775.25
35.74	782.75
35.76	778
35.78	800.5
35.8	778
35.82	824.25
35.84	826
35.86	804.25
35.88	838.75
35.9	868.5
35.92	891
35.94	919.25
35.96	939.25
35.98	951.25
36	996.75
36.02	982
36.04	976.5
36.06	977.25
36.08	972.5
36.1	947
36.12	907.5
36.14	918
36.16	887.5
36.18	857.25
36.2	800.5
36.22	802
36.24	817.75
36.26	803.75
36.28	797.75
36.3	805.75
36.32	810
36.34	781.25
36.36	807.5
36.38	822.25
36.4	781.25
36.42	808.5
36.44	826
36.46	799.75
36.48	834.75
36.5	828.75
36.52	838.75
36.54	818.75
36.56	841.25
36.58	840
36.6	840.5
36.62	835.75
36.64	837.25
36.66	871.25
36.68	851.25
36.7	851.75
36.72	827.25
36.74	820.75
36.76	826.5
36.78	839.25
36.8	817.75
36.82	780.75
36.84	808.5
36.86	779.5
36.88	792.75
36.9	774.75
36.92	768
36.94	757.25
36.96	727.75
36.98	754.25
37	726
37.02	776.25
37.04	755.75
37.06	743.75
37.08	749
37.1	768
37.12	773.25
37.14	741.25
37.16	764.5
37.18	754.25
37.2	761.75
37.22	762.25
37.24	764
37.26	752.75
37.28	766.25
37.3	799.75
37.32	784.25
37.34	809.75
37.36	807.5
37.38	820
37.4	825.5
37.42	809.25
37.44	800.75
37.46	815.5
37.48	831.75
37.5	839.25
37.52	845.5
37.54	811.75
37.56	855.75
37.58	817.25
37.6	842.5
37.62	837
37.64	821.5
37.66	820.5
37.68	839
37.7	840.5
37.72	836.75
37.74	858.25
37.76	848.75
37.78	835.5
37.8	827.25
37.82	812.75
37.84	814.25
37.86	791
37.88	799.5
37.9	774
37.92	782.5
37.94	780.75
37.96	763.25
37.98	743.75
38	770.25
38.02	765.5
38.04	777
38.06	760
38.08	729.25
38.1	747.5
38.12	723.25
38.14	732.5
38.16	725.25
38.18	722
38.2	734.5
38.22	732.5
38.24	699.5
38.26	717.25
38.28	711.75
38.3	715
38.32	692.75
38.34	676.75
38.36	662.5
38.38	678.75
38.4	664.5
38.42	677.75
38.44	663.25
38.46	675.5
38.48	665.25
38.5	652
38.52	639
38.54	645.75
38.56	662.75
38.58	656.25
38.6	640
38.62	658.5
38.64	672
38.66	650.75
38.68	677
38.7	674.75
38.72	651.25
38.74	655.75
38.76	692.75
38.78	703.5
38.8	704
38.82	697
38.84	707.25
38.86	727.75
38.88	732
38.9	708.25
38.92	746.75
38.94	724
38.96	714.5
38.98	714
39	721
39.02	723.75
39.04	701
39.06	702.25
39.08	701
39.1	712.75
39.12	692.5
39.14	710.25
39.16	705.75
39.18	720
39.2	721.5
39.22	727.25
39.24	744
39.26	762.75
39.28	752.5
39.3	782.25
39.32	767.25
39.34	807.75
39.36	832.75
39.38	886
39.4	880.25
39.42	884
39.44	934
39.46	926.5
39.48	934.5
39.5	900.5
39.52	937.75
39.54	892.25
39.56	875
39.58	804.25
39.6	771
39.62	779.75
39.64	726.75
39.66	724.75
39.68	692
39.7	728.75
39.72	692.5
39.74	695.25
39.76	685.5
39.78	697.25
39.8	691.25
39.82	662.5
39.84	701.25
39.86	667.25
39.88	680.25
39.9	699.75
39.92	711.75
39.94	671.25
39.96	697.25
39.98	716.25
40	688
40.02	719.25
40.04	720.75
40.06	697.75
40.08	723.5
40.1	717
40.12	685.75
40.14	702.5
40.16	670.5
40.18	675.75
40.2	697.75
40.22	693.25
40.24	712
40.26	706
40.28	673.5
40.3	690.5
40.32	689.75
40.34	704.75
40.36	686.5
40.38	674.75
40.4	707.25
40.42	728
40.44	701
40.46	706.5
40.48	729.75
40.5	725.25
40.52	722
40.54	743.25
40.56	785.25
40.58	789.25
40.6	764.5
40.62	759.5
40.64	790.25
40.66	804.5
40.68	784
40.7	800
40.72	811
40.74	782.25
40.76	769.75
40.78	804.5
40.8	783.75
40.82	771.5
40.84	782
40.86	774.25
40.88	754
40.9	748
40.92	730.25
40.94	733.25
40.96	735.25
40.98	724.75
41	715.75
41.02	702.75
41.04	710.75
41.06	727.5
41.08	708.25
41.1	722.25
41.12	694
41.14	705.25
41.16	712.75
41.18	699.75
41.2	673.75
41.22	687.5
41.24	680.25
41.26	678.25
41.28	709
41.3	660.75
41.32	668.25
41.34	687.25
41.36	663.75
41.38	658.5
41.4	672
41.42	676
41.44	684.5
41.46	678.25
41.48	703.75
41.5	670.25
41.52	679
41.54	653.75
41.56	665.5
41.58	673.5
41.6	676
41.62	648
41.64	690.25
41.66	661.25
41.68	702
41.7	686.25
41.72	677.75
41.74	704.5
41.76	708.25
41.78	715.5
41.8	705.5
41.82	722.5
41.84	710.25
41.86	720.25
41.88	734.25
41.9	725
41.92	720.75
41.94	720.25
41.96	752.75
41.98	754.75
42	760
42.02	754
42.04	762.75
42.06	774.75
42.08	754.25
42.1	774
42.12	768.25
42.14	791.25
42.16	783.75
42.18	764
42.2	759.25
42.22	760
42.24	798
42.26	765.5
42.28	754.25
42.3	772
42.32	781.5
42.34	753.75
42.36	822.75
42.38	795.25
42.4	816.75
42.42	776.5
42.44	799
42.46	796
42.48	782
42.5	809
42.52	757
42.54	761
42.56	755
42.58	755.75
42.6	736.5
42.62	704
42.64	726
42.66	739.25
42.68	695.5
42.7	682.75
42.72	673.75
42.74	660.75
42.76	643.25
42.78	689
42.8	682.5
42.82	673
42.84	661.25
42.86	667.25
42.88	664.75
42.9	661.25
42.92	696.5
42.94	682.5
42.96	686
42.98	725.75
43	698
43.02	699.25
43.04	722.75
43.06	734.5
43.08	747.5
43.1	773
43.12	783.75
43.14	835.25
43.16	877.25
43.18	895.75
43.2	944.25
43.22	945
43.24	970.5
43.26	1022.5
43.28	1004
43.3	994.5
43.32	1002.5
43.34	990.25
43.36	979
43.38	943.75
43.4	931.25
43.42	929.75
43.44	930.5
43.46	900
43.48	880.5
43.5	886.5
43.52	914
43.54	900.25
43.56	885.75
43.58	868.5
43.6	835.5
43.62	883.25
43.64	838.75
43.66	810.25
43.68	841.5
43.7	808.25
43.72	822.25
43.74	776.75
43.76	765
43.78	756.75
43.8	717.75
43.82	718.5
43.84	742.75
43.86	721.75
43.88	730.5
43.9	686.75
43.92	717
43.94	719.5
43.96	701.5
43.98	704.25
44	690.75
