Sample	
Comments	
Filename	C:\WINDMAX\DATA\USERS\GEO\GEO_ER~1\Pyrenees\BULKMA~1\JA_08-M.raw
Goniometer	Ultima IV In-plane
Attachment	Auto sample changer (10 samples)
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/44mA
DivSlit	2/3deg.
DivH.L.Slit	10mm
SctSlit	2/3deg.
RecSlit	0.3mm
Start	16
Stop	44
Step	0.02
Speed	0.3
Offset	0
16	948.75
16.02	927.5
16.04	931.5
16.06	925.25
16.08	952.75
16.1	905.25
16.12	905
16.14	920
16.16	910.75
16.18	928
16.2	901.25
16.22	915.25
16.24	914.75
16.26	888
16.28	901
16.3	909.5
16.32	930.25
16.34	868.75
16.36	900.5
16.38	909.25
16.4	898.5
16.42	892
16.44	884
16.46	903
16.48	898
16.5	897
16.52	900.25
16.54	913
16.56	931.75
16.58	885
16.6	901
16.62	919.5
16.64	938.75
16.66	909
16.68	908
16.7	928.75
16.72	907
16.74	945.25
16.76	923
16.78	939.5
16.8	954.75
16.82	926.75
16.84	971
16.86	954
16.88	942.25
16.9	974.75
16.92	954.25
16.94	969
16.96	954.75
16.98	942.75
17	929.25
17.02	972.5
17.04	956.75
17.06	938
17.08	965.25
17.1	944.25
17.12	940.25
17.14	946
17.16	950.5
17.18	974.25
17.2	943.5
17.22	969.75
17.24	962.75
17.26	986
17.28	1003.25
17.3	972.5
17.32	987.75
17.34	998
17.36	981.5
17.38	1005
17.4	1024.75
17.42	1021.75
17.44	1012.25
17.46	1017.25
17.48	1070
17.5	1106.25
17.52	1066.25
17.54	1095.75
17.56	1122.75
17.58	1134.25
17.6	1134
17.62	1196.75
17.64	1191.75
17.66	1230
17.68	1255.25
17.7	1266
17.72	1322.75
17.74	1321
17.76	1348.75
17.78	1343.75
17.8	1315
17.82	1331
17.84	1306.5
17.86	1307
17.88	1296.5
17.9	1243.25
17.92	1253.75
17.94	1233
17.96	1210
17.98	1195.25
18	1191.25
18.02	1124.25
18.04	1105.75
18.06	1131.5
18.08	1096.5
18.1	1085
18.12	1064.25
18.14	1055.25
18.16	1081.5
18.18	1054.75
18.2	1038
18.22	1070.75
18.24	1038.5
18.26	1040.25
18.28	1041
18.3	1037.5
18.32	1021.5
18.34	1042.5
18.36	1028.5
18.38	1070.75
18.4	1040.75
18.42	1054.5
18.44	1072.25
18.46	1077.25
18.48	1062.75
18.5	1070.25
18.52	1090
18.54	1100.25
18.56	1073.25
18.58	1092.25
18.6	1119.5
18.62	1155.75
18.64	1130.5
18.66	1161.5
18.68	1197
18.7	1212.5
18.72	1236.75
18.74	1217.75
18.76	1278.75
18.78	1284.25
18.8	1277.5
18.82	1262.75
18.84	1257.75
18.86	1195.25
18.88	1163
18.9	1125.25
18.92	1106.25
18.94	1097.25
18.96	1104.5
18.98	1048.25
19	1063.25
19.02	1071.75
19.04	1051.75
19.06	1041.5
19.08	1055
19.1	1050.25
19.12	1067.25
19.14	1060
19.16	1064.25
19.18	1082
19.2	1086.75
19.22	1077
19.24	1065.5
19.26	1075.5
19.28	1108.5
19.3	1119.75
19.32	1082.75
19.34	1126.75
19.36	1112.25
19.38	1108.25
19.4	1129.75
19.42	1112.75
19.44	1143.5
19.46	1104.75
19.48	1186.25
19.5	1164
19.52	1230.5
19.54	1258
19.56	1293.5
19.58	1298.25
19.6	1348.75
19.62	1363.25
19.64	1473
19.66	1549.75
19.68	1588.75
19.7	1664.5
19.72	1723.25
19.74	1808.25
19.76	1780
19.78	1871.75
19.8	1839.5
19.82	1869.75
19.84	1862.25
19.86	1894
19.88	1814.75
19.9	1803.5
19.92	1756
19.94	1675.5
19.96	1592
19.98	1559.5
20	1500.25
20.02	1447.25
20.04	1397.75
20.06	1357.75
20.08	1322.25
20.1	1285.75
20.12	1267.75
20.14	1278.5
20.16	1265.75
20.18	1219.5
20.2	1234.75
20.22	1207.5
20.24	1192.25
20.26	1211
20.28	1160.25
20.3	1171
20.32	1166.25
20.34	1154.5
20.36	1214.25
20.38	1181
20.4	1181.5
20.42	1160.75
20.44	1202
20.46	1159.5
20.48	1211.5
20.5	1209.25
20.52	1205
20.54	1212
20.56	1249.5
20.58	1264
20.6	1267.75
20.62	1327.25
20.64	1310.5
20.66	1338.5
20.68	1356.75
20.7	1420.75
20.72	1457.5
20.74	1515.75
20.76	1573
20.78	1642.75
20.8	1667.75
20.82	1786.75
20.84	1801
20.86	1791.25
20.88	1712.5
20.9	1620.75
20.92	1571.75
20.94	1467.5
20.96	1365.75
20.98	1309
21	1236.25
21.02	1218.75
21.04	1139.25
21.06	1131
21.08	1115.5
21.1	1099
21.12	1053.25
21.14	1074.75
21.16	1062.5
21.18	1083
21.2	1056
21.22	1074.75
21.24	1077.25
21.26	1051
21.28	1054.25
21.3	1076.75
21.32	1060.5
21.34	1062.25
21.36	1069.5
21.38	1081.5
21.4	1113
21.42	1090.75
21.44	1101.75
21.46	1082
21.48	1093.75
21.5	1136
21.52	1108.25
21.54	1086.25
21.56	1103
21.58	1104.5
21.6	1119.5
21.62	1102.25
21.64	1103.75
21.66	1094.25
21.68	1119.25
21.7	1076.25
21.72	1098.75
21.74	1095.75
21.76	1089.5
21.78	1086.25
21.8	1072.75
21.82	1076.75
21.84	1083.5
21.86	1055.5
21.88	1081.5
21.9	1049.25
21.92	1065
21.94	1069.5
21.96	1058.25
21.98	1076
22	1075.25
22.02	1120.25
22.04	1089.5
22.06	1107
22.08	1112.75
22.1	1083.5
22.12	1063.75
22.14	1076.5
22.16	1054
22.18	1063.75
22.2	1056
22.22	1047.75
22.24	1043
22.26	1041
22.28	1082.5
22.3	1038.5
22.32	1063.5
22.34	1058
22.36	1058.5
22.38	1059.5
22.4	1077.25
22.42	1071
22.44	1072
22.46	1086.25
